Record Type,CDS Code,County,District,School,Entity Type,Low Grade,High Grade,Public Yes/No,Latitude,Longitude
School,30664646954002,Orange,Capistrano Unified,Laguna Niguel Jr. Academy,K-12 Schools (Private),K,8,N,33.532290,-117.719823
School,30664647087729,Orange,Capistrano Unified,Laguna Niguel Montessori Center,Elementary School (Private),K,2,N,33.555181,-117.699148
School,30664647091515,Orange,Capistrano Unified,LiMai Montessori Academy RSM,Elementary School (Private),K,1,N,33.634661,-117.604908
School,30664646144018,Orange,Capistrano Unified,Marguerite Christian School,Kindergartens (Private),K,K,N,33.573718,-117.657097
School,30664646901714,Orange,Capistrano Unified,McDowell School,Elementary School (Private),K,5,N,33.540823,-117.691015
School,30664646965065,Orange,Capistrano Unified,Mission Basilica School,Elementary School (Private),K,8,N,33.503875,-117.662405
School,30664646203772,Orange,Capistrano Unified,Mission Lutheran School,Kindergartens (Private),K,K,N,33.550228,-117.704631
School,30664646133201,Orange,Capistrano Unified,Monarch Bay Montessori Academy,Elementary School (Private),K,6,N,33.485835,-117.722355
School,30664646202873,Orange,Capistrano Unified,Montessori of Ladera Ranch,Elementary School (Private),K,3,N,33.558551,-117.625949
School,30664647098775,Orange,Capistrano Unified,montessori of laguna niguel,Elementary School (Private),K,1,N,33.508867,-117.708573
School,30664646965073,Orange,Capistrano Unified,Our Lady of Fatima School,Elementary School (Private),K,8,N,33.429722,-117.608830
School,30664647096654,Orange,Capistrano Unified,Rancho Viejo School,Elementary School (Private),K,8,N,33.627168,-117.609917
School,30664646929707,Orange,Capistrano Unified,San Clemente Christian School,Elementary School (Private),K,8,N,33.453865,-117.598879
School,30664647081334,Orange,Capistrano Unified,St. Anne School,Elementary School (Private),K,8,N,33.491229,-117.703234
School,30664646916142,Orange,Capistrano Unified,St. Edward the Confessor Parish School,Elementary School (Private),K,8,N,33.470443,-117.690091
School,30664647088842,Orange,Capistrano Unified,St. Junipero Serra Catholic School,Elementary School (Private),K,8,N,33.618601,-117.611388
School,30664646909469,Orange,Capistrano Unified,St. Margaret's Episcopal School,K-12 Schools (Private),K,12,N,33.504421,-117.650480
School,30664647085962,Orange,Capistrano Unified,ST. MARY'S SCHOOL,Elementary School (Private),K,8,N,33.553913,-117.724943
School,30664646143614,Orange,Capistrano Unified,Stoneybrooke Christian School,Elementary School (Private),K,8,N,33.540579,-117.671472
School,30664647102221,Orange,Capistrano Unified,Sunflower Montessori,Elementary School (Private),K,1,N,33.552462,-117.671422
School,30664646204176,Orange,Capistrano Unified,Talega Preparatory Academy,K-12 Schools (Private),K,12,N,33.414245,-117.608765
School,30664646163778,Orange,Capistrano Unified,Team Hardison,Elementary School (Private),K,12,N,33.528546,-117.689248
School,30664646157747,Orange,Capistrano Unified,TESLA Country Day,Kindergartens (Private),K,K,N,33.458077,-117.601538
School,30664646149926,Orange,Capistrano Unified,The Discovery Preparatory School,K-12 Schools (Private),6,12,N,33.564987,-117.728760
School,30664646158356,Orange,Capistrano Unified,The Johnson Academy,Elementary School (Private),K,8,N,33.499342,-117.656846
School,30664646134720,Orange,Capistrano Unified,West River Academy,K-12 Schools (Private),K,12,N,33.473181,-117.682851
School,30664727100035,Orange,Centralia Elementary,Bethel Baptist Academy,K-12 Schools (Private),K,12,N,33.847218,-117.989595
School,30664726937437,Orange,Centralia Elementary,Speech and Language Development Center,Kindergartens (Private),K,12,N,33.836904,-118.020844
School,30664806988224,Orange,Cypress Elementary,Cypress Montessori Academy,Elementary School (Private),K,2,N,33.837099,-118.047056
School,30664800120295,Orange,Cypress Elementary,DEL SOL SCHOOL INC,K-12 Schools (Private),K,12,N,33.813630,-118.038689
School,30664806977334,Orange,Cypress Elementary,Grace Christian School of Cypress,Elementary School (Private),K,8,N,33.813780,-118.053390
School,30664806155808,Orange,Cypress Elementary,LiMai Montessori Academy,Kindergartens (Private),K,1,N,33.842047,-118.056138
School,30664806965263,Orange,Cypress Elementary,St. Irenaeus Catholic Elementary,Elementary School (Private),K,8,N,33.828368,-118.041352
School,30664986153241,Orange,Fountain Valley Elementary,Davidson Learning Center,Elementary School (Private),K,12,N,33.730309,-118.007891
School,30664986203954,Orange,Fountain Valley Elementary,Fountain Valley Montessori Center,Elementary School (Private),K,3,N,33.695633,-117.952313
School,30664986132401,Orange,Fountain Valley Elementary,Slater Montessori Academy,Elementary School (Private),K,2,N,33.708558,-117.948835
School,30664987005853,Orange,Fountain Valley Elementary,The Pegasus School,Elementary School (Private),K,8,N,33.677145,-117.946833
School,30665066154942,Orange,Fullerton Elementary,Alpha10 Academy,K-12 Schools (Private),4,12,N,33.879996,-117.899612
School,30665067066673,Orange,Fullerton Elementary,Arborland Montessori,Elementary School (Private),K,6,N,33.866274,-117.957445
School,30665066139372,Orange,Fullerton Elementary,Arborland Montessori-Hughes Campus,Elementary School (Private),K,8,N,33.882306,-117.963375
School,30665066999007,Orange,Fullerton Elementary,Eastside Christian School,K-12 Schools (Private),K,12,N,33.867470,-117.958125
School,30665066983407,Orange,Fullerton Elementary,Ivy Crest Montessori Private School,Elementary School (Private),K,6,N,33.874722,-117.894897
School,30665066203053,Orange,Fullerton Elementary,Kids Adventure Learning Center,Kindergartens (Private),K,1,N,33.866120,-117.960578
School,30665066965321,Orange,Fullerton Elementary,St. Juliana Falconieri,Elementary School (Private),K,8,N,33.883177,-117.897388
School,30665066145668,Orange,Fullerton Elementary,Stepping Stones Academy,Kindergartens (Private),K,2,N,33.910322,-117.931305
School,30665146161822,Orange,Fullerton Joint Union High,Glory Heights Christian Academy,K-12 Schools (Private),K,12,N,33.857104,-117.954121
School,30665146937395,Orange,Fullerton Joint Union High,Rosary Academy,High Schools (Private),9,12,N,33.884575,-117.898298
School,30665146926471,Orange,Fullerton Joint Union High,Rossier Park School,K-12 Schools (Private),7,12,N,33.857203,-118.011210
School,30665146937486,Orange,Fullerton Joint Union High,Whittier Christian High,High Schools (Private),9,12,N,33.934852,-117.970085
School,30665226152680,Orange,Garden Grove Unified,Aquinas International Academy,K-12 Schools (Private),K,12,N,33.859726,-118.029139
School,30665227015688,Orange,Garden Grove Unified,Ari Guiragos Minassian Armenian,Elementary School (Private),K,6,N,33.738844,-117.938694
School,30665226936991,Orange,Garden Grove Unified,Bethel Baptist,K-12 Schools (Private),K,12,N,33.735887,-117.937177
School,30665226155154,Orange,Garden Grove Unified,Chapman Montessori School,Elementary School (Private),K,3,N,33.790788,-117.940095
School,30665226145924,Orange,Garden Grove Unified,CORE Academy,Kindergartens (Private),K,8,N,33.753494,-117.959429
School,30665226973531,Orange,Garden Grove Unified,King of Kings Lutheran,Elementary School (Private),K,8,N,33.767412,-117.929898
School,30665226993752,Orange,Garden Grove Unified,Montessori Greenhouse Schools LLC,Elementary School (Private),K,6,N,33.785037,-118.032019
School,30665226156665,Orange,Garden Grove Unified,Olive Crest Academy - North,Elementary School (Private),K,8,N,33.772644,-117.950300
School,30665226929780,Orange,Garden Grove Unified,Orange Crescent,Elementary School (Private),K,10,N,33.755556,-117.958507
School,30665226937346,Orange,Garden Grove Unified,Orangewood Academy,K-12 Schools (Private),K,12,N,33.764291,-117.910463
School,30665226159479,Orange,Garden Grove Unified,QTD Educational Services,K-12 Schools (Private),K,12,N,33.766392,-117.969885
School,30665226152706,Orange,Garden Grove Unified,QTD International,K-12 Schools (Private),K,12,N,33.766361,-117.969893
School,30665226152888,Orange,Garden Grove Unified,QTD Military Style Learning Academy,K-12 Schools (Private),K,12,N,33.766361,-117.969893
School,30665226987374,Orange,Garden Grove Unified,Santa Clara Nursery School,Kindergartens (Private),K,K,N,33.753754,-117.928067
School,30665226965164,Orange,Garden Grove Unified,St. Barbara Elementary,Elementary School (Private),K,8,N,33.737095,-117.938631
School,30665226965230,Orange,Garden Grove Unified,St. Columban,Elementary School (Private),K,8,N,33.777811,-117.942966
School,30665227089543,Orange,Garden Grove Unified,Village Bible Academy,K-12 Schools (Private),K,12,N,33.778810,-117.919437
School,30665306152334,Orange,Huntington Beach City Elementary,Holy Family Institute,K-12 Schools (Private),K,12,N,33.683299,-117.994985
School,30665306915532,Orange,Huntington Beach City Elementary,Huntington Christian,Elementary School (Private),K,8,N,33.660600,-117.958922
School,30665306139414,Orange,Huntington Beach City Elementary,My First Montessori,Elementary School (Private),K,2,N,33.684871,-117.953934
School,30665306132419,Orange,Huntington Beach City Elementary,Patti's Preschool Inc.,Kindergartens (Private),K,K,N,33.682568,-118.003733
School,30665306965248,Orange,Huntington Beach City Elementary,St. Simon and St. Jude Elementary,Elementary School (Private),K,8,N,33.665990,-117.970079
School,30665486141428,Orange,Huntington Beach Union High,Fusion Academy - Huntington Beach,K-12 Schools (Private),6,12,N,33.735454,-117.995210
School,30665486144620,Orange,Huntington Beach Union High,Futures Academy - Huntington Beach,High Schools (Private),6,12,N,33.680143,-118.000466
School,30736506162812,Orange,Irvine Unified,Bethel Classical Academy,Elementary School (Private),K,5,N,33.658694,-117.839294
School,30736506160535,Orange,Irvine Unified,BRYWOOD SCHOOL,K-12 Schools (Private),K,12,N,33.710063,-117.769336
School,30736506149074,Orange,Irvine Unified,C4L Academy,K-12 Schools (Private),9,12,N,33.633572,-117.732305
School,30736506148498,Orange,Irvine Unified,California University FCE High School,High Schools (Private),9,12,N,33.683947,-117.794694
School,30736506133607,Orange,Irvine Unified,Crean Lutheran High School,High Schools (Private),9,12,N,33.702130,-117.731868
School,30736506162010,Orange,Irvine Unified,Franklin Academy,High Schools (Private),6,12,N,33.644977,-117.834791
School,30736506143259,Orange,Irvine Unified,Guide Academy,Elementary School (Private),K,12,N,33.832437,-117.923207
School,30736506164552,Orange,Irvine Unified,Irvine Chinese Immersion School,Elementary School (Private),K,6,N,33.696362,-117.766863
School,30736506148456,Orange,Irvine Unified,Irvine Hebrew Day School,Kindergartens (Private),K,8,N,33.759549,-117.846940
School,30736506159461,Orange,Irvine Unified,Macbeth Academy,K-12 Schools (Private),K,12,N,33.681143,-117.848892
School,30736506937278,Orange,Irvine Unified,Mardan School of Educational Therapy,K-12 Schools (Private),K,12,N,33.674834,-117.791005
School,30736506151237,Orange,Irvine Unified,Milestones Montessori Of Irvine,Elementary School (Private),K,3,N,33.700140,-117.838179
School,30736507104722,Orange,Irvine Unified,New Horizon School Irvine,Elementary School (Private),K,8,N,33.697159,-117.766153
School,30736506154884,Orange,Irvine Unified,New Horizon School Irvine Upper Campus,Elementary School (Private),3,8,N,33.641657,-117.720098
School,30736507094188,Orange,Irvine Unified,Northwood Montessori School of Irvine,Elementary School (Private),K,1,N,33.725547,-117.752576
School,30736506162440,Orange,Irvine Unified,OC Toddler School,Kindergartens (Private),K,K,N,33.663696,-117.779162
School,30736506142186,Orange,Irvine Unified,Pacific Academy,K-12 Schools (Private),K,12,N,33.672618,-117.797426
School,30736506144273,Orange,Irvine Unified,Pacific International Academy,K-12 Schools (Private),1,12,N,33.665111,-117.790840
School,30736506164321,Orange,Irvine Unified,Pomegranate Kids Universe Schools,Elementary School (Private),K,5,N,33.695078,-117.766428
School,30736506159487,Orange,Irvine Unified,Rhinos Sports School,K-12 Schools (Private),4,12,N,33.451385,-117.594664
School,30736507027303,Orange,Irvine Unified,Saddleback Christian Academy,K-12 Schools (Private),K,12,N,33.701650,-117.787200
School,30736506158414,Orange,Irvine Unified,STEM3 Academy Orange County,K-12 Schools (Private),K,12,N,33.686806,-117.846254
School,30736506158422,Orange,Irvine Unified,The Children's School,Elementary School (Private),3,8,N,33.670182,-117.834878
School,30736506911697,Orange,Irvine Unified,Turtle Rock Preschool Kindergarten & Academy,Kindergartens (Private),K,K,N,33.650116,-117.815554
School,30736506907539,Orange,Irvine Unified,TVT Community Day School,K-12 Schools (Private),K,12,N,33.632771,-117.827914
School,30736507040751,Orange,Irvine Unified,University Montessori School of Irvine,Elementary School (Private),K,K,N,33.641056,-117.837334
School,30736506900443,Orange,Irvine Unified,Village Montessori School of Irvine,Elementary School (Private),K,3,N,33.661445,-117.820077
School,30736506162689,Orange,Irvine Unified,Vine Education Group Inc,Elementary School (Private),K,8,N,33.726600,-117.781238
School,30736506160238,Orange,Irvine Unified,Westcliff Preparatory Academy,High Schools (Private),9,11,N,33.685538,-117.848094
School,30736507071509,Orange,Irvine Unified,Westpark Montessori School of Irvine,Kindergartens (Private),K,K,N,33.674610,-117.820366
School,30665636915540,Orange,La Habra City Elementary,Cleta Harder Developmental School,Ungraded Schools (Private),7,12,N,33.941113,-117.946922
School,30665637097116,Orange,La Habra City Elementary,Committed Christian School,Elementary School (Private),1,12,N,33.914837,-117.946237
School,30665636163802,Orange,La Habra City Elementary,New Life Academy,Elementary School (Private),K,8,N,33.924031,-117.937806
School,30665556159941,Orange,Laguna Beach Unified,American Institute of the Gifted and Talented,K-12 Schools (Private),K,12,N,33.527869,-117.769803
School,30665557053655,Orange,Laguna Beach Unified,Anneliese Schools,Elementary School (Private),K,6,N,33.581442,-117.760408
School,30665557053630,Orange,Laguna Beach Unified,Anneliese Schools,Elementary School (Private),K,3,N,33.543294,-117.776711
School,30665557096894,Orange,Laguna Beach Unified,Anneliese Schools,Kindergartens (Private),K,K,N,33.514141,-117.755011
School,30739246926836,Orange,Los Alamitos Unified,Aslan Academy,K-12 Schools (Private),K,5,N,33.799604,-118.050695
School,30739246162903,Orange,Los Alamitos Unified,Shorelife Academy,Elementary School (Private),K,8,N,33.747518,-118.115155
School,30739246965255,Orange,Los Alamitos Unified,St. Hedwig Elementary,Elementary School (Private),K,8,N,33.795792,-118.070819
School,30647666982623,Orange,Lowell Joint,PRIMANTI MONTESSORI ACADEMY,Elementary School (Private),K,8,N,33.933673,-117.976977
School,30665896136659,Orange,Magnolia Elementary,Anaheim Magnolia Christian School,K-12 Schools (Private),1,12,N,33.821428,-117.975511
School,30665896973598,Orange,Magnolia Elementary,Montessori House of Children,Ungraded Schools (Private),K,8,N,33.815876,-117.976784
School,30665976973259,Orange,Newport-Mesa Unified,Carden Hall Inc,Elementary School (Private),K,8,N,33.631101,-117.937368
School,30665976965024,Orange,Newport-Mesa Unified,Christ Lutheran Elementary,Elementary School (Private),K,8,N,33.652510,-117.930451
School,30665976149165,Orange,Newport-Mesa Unified,Futures Academy - Newport Beach,K-12 Schools (Private),6,12,N,33.671241,-117.858387
School,30665976162291,Orange,Newport-Mesa Unified,Gordon School,K-12 Schools (Private),K,12,N,33.607586,-117.869032
School,30665976973465,Orange,Newport-Mesa Unified,Harbor Day School,Elementary School (Private),K,8,N,33.608054,-117.856810
School,30665976159172,Orange,Newport-Mesa Unified,Heritage Montessori School,Kindergartens (Private),K,2,N,33.644484,-117.909178
School,30665976136741,Orange,Newport-Mesa Unified,International Christian Montessori Academy of Costa Mesa,Elementary School (Private),K,6,N,33.678344,-117.909412
School,30665976164503,Orange,Newport-Mesa Unified,ISEA - International,K-12 Schools (Private),K,12,N,33.611000,-117.873129
School,30665976998074,Orange,Newport-Mesa Unified,Montessori Harbor Mesa Elementary,Elementary School (Private),K,6,N,33.681558,-117.921010
School,30665976144323,Orange,Newport-Mesa Unified,Newport Academy Day School,High Schools (Private),7,12,N,33.685246,-117.871310
School,30665976915581,Orange,Newport-Mesa Unified,Newport Christian School,Elementary School (Private),K,12,N,33.639227,-117.867906
School,30665976965107,Orange,Newport-Mesa Unified,Our Lady Queen of Angels School,Elementary School (Private),K,8,N,33.631953,-117.876687
School,30665976162242,Orange,Newport-Mesa Unified,Pacific Grove Academy,K-12 Schools (Private),K,12,N,33.653317,-117.939431
School,30665976149389,Orange,Newport-Mesa Unified,Pacifica Christian High School-Orange County,High Schools (Private),9,12,N,33.628342,-117.935363
School,30665976901789,Orange,Newport-Mesa Unified,Page Private-Costa Mesa,Elementary School (Private),K,8,N,33.651983,-117.925833
School,30665976142426,Orange,Newport-Mesa Unified,Renascence School International,Elementary School (Private),K,12,N,33.679425,-117.929132
School,30665977101041,Orange,Newport-Mesa Unified,Sage Hill School,High Schools (Private),9,12,N,33.618816,-117.823267
School,30665976965289,Orange,Newport-Mesa Unified,St. Joachim,Elementary School (Private),K,8,N,33.642706,-117.911351
School,30665976965297,Orange,Newport-Mesa Unified,St. John the Baptist Elementary,Elementary School (Private),K,8,N,33.678778,-117.900156
School,30665977038680,Orange,Newport-Mesa Unified,Waldorf School of Orange County,Elementary School (Private),K,12,N,33.658745,-117.939665
School,30665976138267,Orange,Newport-Mesa Unified,Woodbridge Homeschool LCC,Elementary School (Private),K,12,N,33.611000,-117.873129
School,30666136921993,Orange,Ocean View,Carden Conservatory,Elementary School (Private),K,8,N,33.726845,-118.029158
School,30666136921076,Orange,Ocean View,Grace Lutheran School Huntington Beach,Elementary School (Private),K,8,N,33.736183,-118.038460
School,30666137084965,Orange,Ocean View,Heritage Montessori School,Elementary School (Private),K,4,N,33.731393,-118.006960
School,30666137081284,Orange,Ocean View,LePort Schools - Huntington Harbor,Elementary School (Private),K,6,N,33.727356,-118.044441
School,30666136973572,Orange,Ocean View,Liberty Christian School,K-12 Schools (Private),K,12,N,33.716397,-117.995162
School,30666137091754,Orange,Ocean View,Montessori Child Development Center,Elementary School (Private),1,6,N,33.726845,-118.029158
School,30666136965172,Orange,Ocean View,Saint Bonaventure School,Elementary School (Private),K,8,N,33.724181,-118.022098
School,30666136149108,Orange,Ocean View,Surf City Christian Child Development Preschool,Kindergartens (Private),K,1,N,33.722653,-118.033357
School,30666137015837,Orange,Ocean View,Warner Avenue Christian Academy,K-12 Schools (Private),2,12,N,33.715474,-117.999902
School,30666216148787,Orange,Orange Unified,Adelphia Classical Christian Academy,K-12 Schools (Private),1,12,N,33.776631,-117.845299
School,30666216148670,Orange,Orange Unified,AmeriMont Academy,Elementary School (Private),K,K,N,33.844017,-117.775772
School,30666217099419,Orange,Orange Unified,Anaheim Hills Monterssori,Elementary School (Private),K,3,N,33.856070,-117.772199
School,30666216162432,Orange,Orange Unified,Bloomington International School,High Schools (Private),K,12,N,33.801917,-117.863327
School,30666216139794,Orange,Orange Unified,Camelot Academy of Arts Science & Technology Esplanade Campus,K-12 Schools (Private),K,12,N,33.801917,-117.863327
School,30666216965198,Orange,Orange Unified,Christ Cathedral Academy,Elementary School (Private),K,8,N,33.788380,-117.900884
School,30666217005705,Orange,Orange Unified,Covenant Christian School,Elementary School (Private),K,8,N,33.818228,-117.851333
School,30666210133082,Orange,Orange Unified,ECE 4 Autism,K-12 Schools (Private),K,12,N,33.835448,-117.833334
School,30666216160048,Orange,Orange Unified,ECE 4 Autism Chapman,High Schools (Private),K,12,N,33.794460,-117.783273
School,30666216155287,Orange,Orange Unified,Evergreen Christian School,Elementary School (Private),1,12,N,33.849125,-117.828170
School,30666216999015,Orange,Orange Unified,Far Horizons Montessori,Elementary School (Private),K,8,N,33.790890,-117.866727
School,30666216929731,Orange,Orange Unified,Hephatha Lutheran School,Elementary School (Private),K,8,N,33.851637,-117.783122
School,30666216965032,Orange,Orange Unified,Holy Family Elementary,Elementary School (Private),K,8,N,33.780200,-117.853419
School,30666216999999,Orange,Orange Unified,Independence Christian School,Elementary School (Private),K,8,N,33.860268,-117.810574
School,30666217053598,Orange,Orange Unified,International School of Orange County,Elementary School (Private),K,6,N,33.818415,-117.851199
School,30666216965057,Orange,Orange Unified,La Purisima Catholic School,Elementary School (Private),K,8,N,33.792005,-117.805698
School,30666216937247,Orange,Orange Unified,Lutheran High School of Orange County,High Schools (Private),9,12,N,33.825306,-117.829607
School,30666216915565,Orange,Orange Unified,Oakridge Private,Elementary School (Private),K,8,N,33.810422,-117.798754
School,30666217102924,Orange,Orange Unified,Olive Crest Academy,K-12 Schools (Private),7,12,N,33.823359,-117.840037
School,30666216130553,Orange,Orange Unified,Rossier Elementary/Middle Spectrum School,Elementary School (Private),K,8,N,33.782446,-117.834577
School,30666216956882,Orange,Orange Unified,Salem Lutheran,Elementary School (Private),K,8,N,33.812505,-117.785136
School,30666216965305,Orange,Orange Unified,St. John's Lutheran School,Elementary School (Private),K,8,N,33.786822,-117.848955
School,30666216965354,Orange,Orange Unified,St. Norbert Catholic School,Elementary School (Private),K,8,N,33.814501,-117.851682
School,30666216965362,Orange,Orange Unified,St. Paul's Lutheran,Elementary School (Private),K,8,N,33.830378,-117.844782
School,30666216152474,Orange,Orange Unified,The Open School,K-12 Schools (Private),1,12,N,33.772712,-117.835218
School,30666216154454,Orange,Orange Unified,University High School of Business and Leadership International,High Schools (Private),K,12,N,33.747748,-117.835982
School,30666476154744,Orange,Placentia-Yorba Linda Unified,AmeriMont Academy,Kindergartens (Private),K,K,N,33.884045,-117.755433
School,30666476153969,Orange,Placentia-Yorba Linda Unified,Calvary Chapel East Anaheim PSP,K-12 Schools (Private),K,12,N,33.861129,-117.793245
School,30666477096985,Orange,Placentia-Yorba Linda Unified,Calvary Chapel of Yorba Linda,Elementary School (Private),K,8,N,33.888675,-117.805538
School,30666476160113,Orange,Placentia-Yorba Linda Unified,CREST Education Center Inc.,K-12 Schools (Private),K,12,N,33.882483,-117.735624
School,30666477098874,Orange,Placentia-Yorba Linda Unified,Discovery Depot Child Care Center,Kindergartens (Private),K,K,N,33.902304,-117.839964
School,30666476153316,Orange,Placentia-Yorba Linda Unified,E3 Academy,K-12 Schools (Private),K,12,N,Information Redacted,Information Redacted
School,30666476997738,Orange,Placentia-Yorba Linda Unified,Fairmont Private Schools Anaheim Hills,Elementary School (Private),K,8,N,33.858455,-117.801392
School,30666476901763,Orange,Placentia-Yorba Linda Unified,Friends Christian School,Elementary School (Private),K,8,N,33.901233,-117.842104
School,30666476988257,Orange,Placentia-Yorba Linda Unified,Heritage Oak Private Education,Elementary School (Private),K,8,N,33.902379,-117.837141
School,30666477099690,Orange,Placentia-Yorba Linda Unified,Hope Christian PSP,K-12 Schools (Private),K,12,N,33.891228,-117.763336
School,30666477080211,Orange,Placentia-Yorba Linda Unified,Integrity Christian School,K-12 Schools (Private),1,12,N,33.860268,-117.810574
School,30666476133615,Orange,Placentia-Yorba Linda Unified,Minaret Academy,Elementary School (Private),K,8,N,33.851709,-117.888764
School,30666477098734,Orange,Placentia-Yorba Linda Unified,St. Francis of Assisi,Elementary School (Private),K,8,N,33.882348,-117.746511
School,30666476965313,Orange,Placentia-Yorba Linda Unified,St. Joseph Elementary,Elementary School (Private),K,8,N,33.879308,-117.869764
School,30666476137608,Orange,Placentia-Yorba Linda Unified,Star Homeschool Academy,K-12 Schools (Private),K,12,N,33.885365,-117.838263
School,30736356998942,Orange,Saddleback Valley Unified,Abiding Savior Lutheran School,Elementary School (Private),K,8,N,33.624306,-117.694633
School,30736356159198,Orange,Saddleback Valley Unified,Academy of Thought and Industry Virtual School,High Schools (Private),7,12,N,33.670548,-117.671739
School,30736356161087,Orange,Saddleback Valley Unified,Crossroads Academy OC,Elementary School (Private),1,8,N,33.599588,-117.701196
School,30736356159925,Orange,Saddleback Valley Unified,Everbrook Academy,Kindergartens (Private),K,K,N,33.639790,-117.595685
School,30736356157663,Orange,Saddleback Valley Unified,Foundation on the Rock,High Schools (Private),1,12,N,33.656454,-117.666290
School,30736356201776,Orange,Saddleback Valley Unified,Fulbright Montessori Academy,Elementary School (Private),K,1,N,33.666226,-117.677922
School,30736356141758,Orange,Saddleback Valley Unified,Fusion Academy,K-12 Schools (Private),6,12,N,33.622957,-117.676709
School,30736356206213,Orange,Saddleback Valley Unified,Grace Christian Schools,Kindergartens (Private),K,8,N,33.631842,-117.675897
School,30736356155378,Orange,Saddleback Valley Unified,Guidepost Montessori at Alicia,Elementary School (Private),K,1,N,33.601338,-117.689088
School,30736356152094,Orange,Saddleback Valley Unified,Guidepost Montessori at Foothill Ranch,Elementary School (Private),K,6,N,33.680337,-117.668648
School,30736356136642,Orange,Saddleback Valley Unified,Heritage Christian School,K-12 Schools (Private),K,6,N,33.642358,-117.655958
School,30736356144448,Orange,Saddleback Valley Unified,Heritage Christian School - JH/HS,K-12 Schools (Private),7,12,N,33.623911,-117.695503
School,30736356146005,Orange,Saddleback Valley Unified,Heritage Montessori School,Elementary School (Private),K,3,N,33.663089,-117.653980
School,30736356911564,Orange,Saddleback Valley Unified,Lake Forest Montessori School,Elementary School (Private),K,2,N,33.648116,-117.685594
School,30736356164545,Orange,Saddleback Valley Unified,Milestones Montessori of Lake Forest,Kindergartens (Private),K,4,N,33.625300,-117.715253
School,30736357084379,Orange,Saddleback Valley Unified,Mission Viejo Christian School,Elementary School (Private),K,8,N,33.603943,-117.668959
School,30736356139943,Orange,Saddleback Valley Unified,Montessori at the Park,Elementary School (Private),K,3,N,33.646723,-117.593377
School,30736357078629,Orange,Saddleback Valley Unified,Montessori on the Lake,Elementary School (Private),K,8,N,33.630221,-117.704760
School,30736356904700,Orange,Saddleback Valley Unified,New Vista School,K-12 Schools (Private),6,12,N,33.626537,-117.734890
School,30736357098866,Orange,Saddleback Valley Unified,Ocean View Nonpublic School,K-12 Schools (Private),3,12,N,33.637237,-117.599750
School,30736356203483,Orange,Saddleback Valley Unified,Pathway School Inc.,Elementary School (Private),3,8,N,33.616285,-117.710651
School,30736357104375,Orange,Saddleback Valley Unified,Pillars Academy,Elementary School (Private),K,K,N,33.620573,-117.675866
School,30736357025661,Orange,Saddleback Valley Unified,Santa Margarita Catholic High School,High Schools (Private),9,12,N,33.642861,-117.582422
School,30736356204754,Orange,Saddleback Valley Unified,Sonrisa School,Elementary School (Private),1,6,N,33.594685,-117.667420
School,30736357038664,Orange,Saddleback Valley Unified,St. John's Episcopal,Elementary School (Private),K,8,N,33.644438,-117.601583
School,30736357091648,Orange,Saddleback Valley Unified,Stratford School,Elementary School (Private),K,8,N,33.603345,-117.673781
School,30736356154835,Orange,Saddleback Valley Unified,The Geneva School,Elementary School (Private),K,8,N,33.609837,-117.733522
School,30736356201230,Orange,Saddleback Valley Unified,VanDamme Academy,Ungraded Schools (Private),K,8,N,33.564987,-117.728760
School,30666706991798,Orange,Santa Ana Unified,Calvary Chapel High,K-12 Schools (Private),K,12,N,33.697330,-117.908698
School,30666706202659,Orange,Santa Ana Unified,Calvary Chapel Private School Program,K-12 Schools (Private),K,12,N,33.700693,-117.912725
School,30666706149462,Orange,Santa Ana Unified,Frontiers Academy,Elementary School (Private),K,8,N,33.679882,-117.877936
School,30666707038631,Orange,Santa Ana Unified,Mariners Christian,Elementary School (Private),K,8,N,33.675688,-117.876893
School,30666706937288,Orange,Santa Ana Unified,Mater Dei High School,High Schools (Private),9,12,N,33.727031,-117.883105
School,30666706149454,Orange,Santa Ana Unified,Montessori International Academy,Elementary School (Private),K,3,N,33.709191,-117.858158
School,30666706147078,Orange,Santa Ana Unified,Soteric Academy,K-12 Schools (Private),7,12,N,33.667441,-117.854312
School,30666706965149,Orange,Santa Ana Unified,St. Anne,Elementary School (Private),K,8,N,33.729501,-117.867927
School,30666706973739,Orange,Santa Ana Unified,St. Joseph Elementary,Elementary School (Private),K,8,N,33.751888,-117.861752
School,30666706973655,Orange,Santa Ana Unified,STORYBOOK PRESCHOOL & KINDERGARTEN,Elementary School (Private),K,4,N,33.754746,-117.872893
School,30666706997415,Orange,Santa Ana Unified,Sunflower Preschool & Kindergarten,Elementary School (Private),K,4,N,33.727346,-117.897851
School,30666966997001,Orange,Savanna Elementary,Orange County Christian School,K-12 Schools (Private),K,12,N,33.823303,-118.002643
School,30736436997431,Orange,Tustin Unified,Calvary Christian School,Elementary School (Private),K,8,N,33.753734,-117.835372
School,30736437098411,Orange,Tustin Unified,Edgewood PrePrimary Academy,Kindergartens (Private),K,K,N,33.743116,-117.815046
School,30736436138358,Orange,Tustin Unified,Foothill Montessori School,Elementary School (Private),K,3,N,33.758970,-117.806875
School,30736436929673,Orange,Tustin Unified,Grace Harbor School,Elementary School (Private),K,6,N,33.750681,-117.810206
School,30736436164750,Orange,Tustin Unified,Karla's homeschooling,Elementary School (Private),K,8,N,Information Redacted,Information Redacted
