,Chengyu,Definition
996,扶老携幼,"Yuan Wang Shifu's second book of ""The Story of the West Chamber"": ""I didn't say anything, but he quickly agreed. Jin Shengtan said: 'It's really a wonderful brush'."""
997,积劳成疾,"Ming Xu Zhonglin's ""Fengshen Romance"" Chapter 40: ""It's a waste of time and effort, but the snow and spring water are all in vain."""
998,大言不惭,"Tang Lutong's poem ""Xie Mengjian's Comments on Sending New Tea"": ""Three bowls to search for dry intestines, only five thousand volumes of text."""
999,无边无际,"Song Su Shi's ""Certain Farewell Seventeen: Going to Traitors"": ""For example, hunters drive and trample among the grass all day long, searching for a rabbit to fight it, and don't wait for it to throw itself into a net and then take it."""
1000,焦头烂额,"Qing Wang Wan's ""Book with Counselor Mr. Shi"": ""Wan Yin worry (car feeling) Ke, aged before aging."""
1001,妄自尊大,"Jin Li Mi's ""Chen Qing Table"": ""People's lives are in danger, and there is no need to worry about the night."""
1002,曾几何时,"""Zhu Ziyu Lei"" Volume 73: ""The sage's bottom line is fair and upright."""
1003,飞扬跋扈,"The eighth chapter of Qing Wu Jingzi's ""School of Foreign Studies"": ""I really did not choose the road. After a few days of dry roads, I took a boat and went all the way to Wuzhen, Zhejiang."""
1004,良辰美景,"Yuan Anonymous's ""Two Soldiers and Divisions Fighting Wisdom Across the River"": ""This week, Yu and his husband have come to claim the ground in Jingzhou, and now they are camping at Chaisang Ferry, which is not a small thing."""
1005,锦绣河山,"""Book of Jin: Biography of Yuyi"": ""This generation should be placed in a high pavilion, and when the world is at peace, then discuss his appointment."""
1006,徒劳无功,"""The Analects of Confucius, Yanghuo"": ""If you have gained it, you will lose it, and if you worry about losing it, you can go anywhere."""
1007,为人师表,"Tang Mengjiao's poem ""The Wanderer's Song"": ""Whoever says an inch of grass will be rewarded with three spring rays."""
1008,重于泰山,"""Book of Songs: The Biography of Shen Qing"": ""Your Majesty wants to conquer the country now, and he and the white-faced scholars are plotting it. Why do you help?"""
1009,牵肠挂肚,"The fourth chapter of Qing Zhang Chunfan's ""Huanhai"": ""At this time, Shao Xiaolian was like a small platform maker. One was one, and two was two. Zhuang Zhijun never refuted him."""
1010,惨不忍睹,"Yuan, Li Xingdao's ""Grey Lanji"" 2nd fold: ""My mother accepts at least seven or eight a day. I remember such a long time."""
1011,守口如瓶,"Song Huang Tingjian's ""Ode to Zhuo Xuan"": ""It is self-defeating, and it is self-defeating for the snake."""
1012,患得患失,"""Easy ,  Li"": ""Suddenly."""
1013,豁然开朗,"Ming Shi Nai'an's ""Water Margin"" Chapter 38: ""Dai Zong said: 'You two are close friends this time. As the saying goes: If you don't fight, you won't know each other.'"""
1014,公而忘私,"""Xunzi Confucianism"": ""Well, it is reasonable."""
1015,八面玲珑,"Song Shi Puji's ""Five Lantern Festival Yuan, Baofeng Wen Zen Master Fa Si, Tai Ping Zen Master"": ""I advise you not to engrave stubborn stones, and pedestrians on the road are like monuments."""
1016,心服口服,"Ye Shengtao's ""Friendship"": ""'She is not dizzy with a fever'. One said, 'It's just that that leg can't walk'."""
1017,饱食终日,"""Jingde Chuan Denglu"": ""Yi stepped back and stood. Teacher went: 'You only understand the front, but do not understand the rear.' Yi Yun: 'The snow is even more frosty.'"""
1018,恋恋不舍,"""Mencius, King Hui of Liang"": ""From the flow down and forgetting the opposite is called the flow, and from the flow up and forgetting the opposite is called the connection."""
1019,枕戈待旦,"Song Weibai's ""Jianzhong Yasukuni Continuation of Lantern Records"" Volume 6: ""Tasteless talk, scattered."""
1020,闭目塞听,"Song Luo Dajing ""Helin Yulu"" Volume 6: ""Although the three characters are not traditionally passed down, they are very elegant."""
1021,同心协力,"""Zhuangzi, Xiaoyaoyou"": ""Those who are suitable for the Mang Cang, the three horns are opposed, and the belly is still as expected."" Tang Duan Chengshi's ""Youyang Zazu, Nuo Gao Records"": ""Hezhou Liulu Shi, in the calendar Dismissed from official residence and prefecture-side counties, they can eat several people, especially mulberry, and it is often said that mulberry is not enough to eat."""
1022,方兴未艾,"Song Dai Fu's ""Jixing"": ""The gold has no color, and the white jade has a slight flaw. Asking for help does not ask for preparation, and the concubine wishes the old gentleman's home."""
1023,不合时宜,"""Book of Songs, Lv Li Zhi Xia"": ""The minister's calendar is seven days, and Xian began to go up to the Yuan, and there is no gap to take advantage of."""
1024,颠沛流离,"Lu Xun's Diary Immediately: ""I got cured and walked out, but I didn't know. When I died, I brought it out and it became a sensation."""
1025,债台高筑,"Ming Wu Bing's ""Healing Furnace Soup: Shadows"": ""People in the eyes are nondescript, and people in the trap are neither clever nor clever."""
1026,粉身碎骨,"""Southern History: The Chronicle of Empress Chen"": ""I am the parent of the common people, how can I not save my clothes and water?"""
1027,肃然起敬,"Ming Wu Chengen's ""Journey to the West"": ""Twisting beads in his hand, reciting words in his mouth, he blew a breath on the sundae, and suddenly it blew down, it was a gust of wind."""
1028,一清二楚,"Qing Yuan Mei's ""Suiyuan Poems"" Volume 1: ""People who are called great talents are like the Yellow River of thousands of miles, and they go down with mud and sand. I think that this rough talent is not a great talent."""
1029,忍无可忍,"""Han Book Yuandi Ji"": ""Landslides and ground cracks, water springs gushing out."""
1030,不得要领,"Jin Tao Qian's ""Peach Blossom Spring"": ""Nanyang Liu Ziji, a noble man, heard about it, and he was happy to go to it, but it didn't work, and he ended up looking for a disease. Then there was no one who asked about it."""
1031,不偏不倚,"Han Liu Xiang's ""Biography of Lie Nv: Qi Tianji's Mother"": ""Illicit wealth is not my own, and unfilial sons are not my sons."""
1032,四面楚歌,"""Yuefu Qunzhu, Anonymous &lt;Golden Character Classic&gt;"": ""Sigh and sigh three times."""
1033,流离失所,"""Records of the Grand Historian, Book of Heaven Officials"": ""The mirage meteorological tower by the sea, and the wild gas becomes a palace."" ""The Sui and Tang Dynasties"": ""How long will this mirage be like a ear?"""
1034,设身处地,"In the Southern Song Dynasty, Liu Yiqing's ""New Words of the World: Words"": ""Seeing this vastness, I don't realize that there are hundreds of sides, and I am too affectionate, and who can send this."""
1035,唇齿相依,"""The Spring and Autumn Annals of Lv: Fraudulent Disciples"": ""There is nowhere for joy and anger, and words change every day."""
1036,座无虚席,"Ming Shi Nai'an's ""Water Margin Complete Biography"" Chapter 77: ""The three armies of horses have lost their strength, and the people are trapped and the horses are exhausted."""
1037,无计可施,"""Poetry, Zheng Feng, Wild Weeds"": ""Encounter and meet, it suits my wishes."""
1038,作壁上观,"Yuan Ke Danqiu's ""Jing Chai Ji Zhike"": ""If you don't marry again, I only worry about who will worship the grave if you cut off your children and no grandchildren."""
1039,大同小异,"""Book of Yizhou, Wenzhuan"": ""Man is stronger than the sky."" Song Liu Guo's ""Song of Xiangyang"": ""Man is determined to be better than the sky, and there will be no Hu sun and moon for a long time."""
1040,无坚不摧,"""Book of the Later Han Dynasty: Wang Yun's Biography"": ""And in the meeting, every time there is no warmth, the stick is upright, and it does not follow expedient measures, so the people below do not attach it very much."""
1041,聚精会神,"Tang Niu Su's ""Ji Wen Wu Baoan"": ""For today's matter, please spare no effort."""
1042,习以为常,"""Mencius, King Hui of Liang"": ""The king said: 'Old man, if you come from a thousand miles away, will there be someone who will benefit my country?'"""
1043,屈指可数,"Ming Luo Guanzhong's ""Romance of the Three Kingdoms"" seventh chapter: ""Look at that young man, he was born eight feet long, with thick eyebrows and big eyes, broad face and heavy weight, and he was majestic."""
1044,搬弄是非,"Ming Ling Puchu's ""Amazing at the First Engraving"" Volume 1: ""Until it is unwrapped, I can see a ball of cotton wrapped in a luminous pearl as large as an inch, and it is dazzling."""
1045,一无是处,"""The Book of the Northern Qi Dynasty: Yan Zhi's Biography"": ""I like drinking, I am a lot of self-righteousness, and I am sloppy."""
1046,铜墙铁壁,"""Book of Northern Qi: Yuan Huiye's Biography"": ""(Yuan) filial friend was in a panic and panicked, and Huiye looked calm."""
1047,剑拔弩张,"Tang Hanyu's ""Original Dao"": ""Sitting in a well and looking at the sky, it is said that the sky is small, but it is not small."""
1048,敬而远之,"""Historical Records Jizheng Biography"": ""Today, I am standing on the ground, and I am looking at it from the side."""
1049,水乳交融,"Jin Wang Xizhi's ""Orchid Pavilion Collection Preface"": ""There are high mountains and lofty mountains here, and the forests are cultivated with bamboos."""
1050,面红耳赤,"Zhou Libo's ""Storm"" Part 1: ""The heart is separated from the belly, and I can't prepare for that guy who eats inside and outside and leaks, and tells Han Lao Liu to run away."""
1051,巧言令色,"Tang Hanyu's ""Preface to Sending Futu Wenchang Teachers"": ""Husbands and animals live in deep and simple, and they are afraid of things for their own harm, but they can't escape."""
1052,老气横秋,"""Book of Rites, Tan Gong Shang"": ""It has been a long time since I lived away from the group."""
1053,励精图治,"Song Deng Mu's ""Bo Yaqin: Officials' Road"": ""In ancient times, when the ruler and the people were in peace with each other, it was impossible to have no officials, and there were not many staff."""
1054,坐立不安,"Qing Yuan Mei's ""Remaining Words Outside the Slip"": ""Therefore, the doctors of Jin are full of tongues, ridiculed and ridiculed, all because of the greatness of the heart."""
1055,以牙还牙,"Song Su Shi's ""Hou Chibi Fu"": ""The mountains are humming and the valley is responding, and the wind is surging."""
1056,轰轰烈烈,"""Songs of Chu: Nine Debates"": ""The emperor divides the four seasons equally, and steals and grieves for this autumn."" Song Li Pu's ""Mid-Autumn Festival"" poem: ""Equally divided autumn colors are full in one round, long accompanied by Yunqu for thousands of miles."""
1057,包罗万象,"Yuan Anonymous's ""Yan'an House"" 3rd fold: ""Han court is dark and loyal, Tang Dynasty Wei Zhengliang, see now thousands of years of Ming Yang, eternal liufang."""
1058,兼收并蓄,"Southern Song Dynasty Liu Yiqing's ""New Words of the World: You Regret"": ""It can't be famous for a hundred generations, and it's not enough to be stinky for thousands of years?"""
1059,化为乌有,"""Mencius Teng Wengong Shang"": ""Today, Teng Jue's strengths make up for his shortcomings, and he can still be a good country if he is fifty miles away."""
1060,五湖四海,"Tang Wu Xiangzhi's ""Youth Xing"": ""Spending a lot of money is a fool, and a family has no walls and does not know poverty."""
1061,六神无主,"""Book, Da Yu Mo"": ""There are a lot of people, and they listen to my orders."""
1062,千奇百怪,"""Sun Tzu: Conspiracy"": ""Know yourself and the enemy, and you will not be imperiled in a hundred battles."""
1063,天下太平,"""The Analects of Confucius, Ba Yi"": ""Or ask about what Yu said. The Master said: 'I don't know; those who know what it says are in the world, it's like showing it to all!' Point to its palm."" He Yanji explained Bao Xian and said ""Confucius said, or someone who knows the etiquette, says that things in the world are like instructing things in the palm of your hand, and it's easy to say."""
1064,耐人寻味,"""Book of Jin, Shi Jilong's Records"": ""Jilong's thirteen sons, five were killed by Ran Min, and eight were killed by each other."""
1065,现身说法,"Song Ouyang Xiu's ""Xiangzhou Zhoujintang Ji"": ""The gentry is in the right place, and it is quiet, and the world is in the peace of Mount Tai."""
1066,前赴后继,"""Records of the Grand Historian, Tai Shigong's Preface"": ""Uncle Sun Tong sets etiquette, and literature advances a little."""
1067,推波助澜,"""Han Shi Wai Zhuan"" Volume 3: ""However, why can't sages be deceived? Said: sages use themselves to save others."""
1068,循规蹈矩,"Song Shi Daoyuan's ""Jingde Chuan Lantern Records"": ""The pole and wood are with you, and you can play on the scene."""
1069,表里如一,"Yuan, Anonymous's ""Chenzhou Rice"" first fold: ""He is a fake public servant, how can I do it with him!"""
1070,叹为观止,"""Mencius Wan Zhang Xia"": ""But it is disrespectful."""
1071,摇尾乞怜,"Tang Hanyu's ""Supplementary Notes with Li of the Shao Shi"": ""If Jingxing Fenghuang is the first to see it, it's better to see it first."""
1072,胡思乱想,"""Han Book: Food and Merchandise Records"": ""The urgent government is tyrannical, and the levies are occasionally collected, and the decrees are changed in the morning."
1073,天壤之别,"""Zuo Zhuan, Zhaoyuan Year"""
1074,中流砥柱,"""Han Book: The Biography of King Jing of Zhongshan"": ""The princes and kings are close relatives by flesh and blood, so the former emperors widely sealed the city of Liancheng, and those who have the wrong teeth are Pan Shizong."""
1075,惊涛骇浪,"Song Su Shi's ""Qian Chibi Fu"": ""Only the breeze on the river, and the bright moon in the mountains, the ear can hear it, and the eye meets it."
1076,咫尺天涯,"Song Ouyang Xiu's ""Remembering the Old Version of Korean Literature"": ""Han's writings have been lost and not seen for two hundred years, and then they are widely used today. This is not a place of special likes and dislikes, and it will become clearer and indelible over time. What is hidden for a time and finally shines in infinity is the way of course.”"
1077,孤家寡人,"Song Wei Liaoweng's ""Resignation from the Superintendent of the Military Horse and Qi to the Counselor's Military Servant Prime Minister's Travel Notes"": ""The minister secretly remembered that the master was worried about the humiliation of the minister, and he had no right to resign. When dispatching officers and men, those who are quick to make plans are insignificant."""
1078,万家灯火,"Ming Shi Naian's ""Water Margin Complete Biography"" Chapter 34: ""In a rubble field, there are countless men and women killed."""
1079,鸿篇巨制,"Tang Hanyu's ""Book of Books with Meng Shang"": ""Since the Han Dynasty, the Confucian area has been repaired, and there are hundreds of holes and thousands of sores."
1080,南腔北调,"""The Chronicles of the Three Kingdoms, Wei Zhi, Dong Zhao's Biography"": ""Secret and not reveal, make the right to gain the will, not the plan."""
1081,行云流水,"""The Old Book of Tang Gaozong Jixia"": ""When the emperor was unable to listen to the court, all political affairs were determined by the queen of heaven. Since the execution of the Shangguan Yi, every time the emperor looked at the court, the queen of heaven hung a curtain behind the imperial throne, and the size of the political affairs were foreshadowed, both inside and outside. Holy."""
1082,休养生息,"Song Shi Puji's ""Five Lantern Festival"", Volume 19: ""Q: 'Everything that contains spirits has Buddha-nature, and both have Buddha-nature, why did they crash into the belly of a donkey's womb and horse?' The master said: 'Knowing and committing. '"""
1083,一举成名,"Tang Hanyu's ""Liu Zihou Epitaph"": ""Those who fall into a well, don't help rescue them, push them back, and fall off the rocks, are all."""
1084,得寸进尺,"""Selected Works: Song Yu's Questions from the King of Chu"": ""It is ""Yang A"" and ""Xielu"", which belong to hundreds of people in the country, and it is ""Yangchun"" and ""Bai Xue"", which belong to the country and are harmonious. But only a few dozen."""
1085,家破人亡,"""Book of Rites: The Doctrine of the Mean"": ""Shun likes to ask questions but likes to examine what you say, hides evil and promotes good."""
1086,说三道四,"Beizhou Yuxin's poem ""Talking about the new mountains with Heyanggong"": ""The dark stone is suspected of hiding a tiger, and the roots are like a crouching dragon."""
1087,三心二意,"On the volume of Liang Zhongrong's ""Poems"" of the Southern Dynasty: ""The text is warm and beautiful, the meaning is sad and far away, and it is thrilling. It can be said that it is almost a thousand words."""
1088,言而无信,"""The Analects of Confucius: For Politics"": ""At seventy, do what you want without breaking the rules."""
1089,微乎其微,"""Han Book of Criminal Law"": ""Guarding the property of the county officials and stealing it. Those who have been accused of flogging, all have abandoned the city."" Yan Shigu commented: ""This is the so-called master of the law and the person who steals from himself."""
1090,重见天日,"""Warring States Policy: Qi Policy Five"": ""The king of Qin was afraid of him, he could not sleep well, and he could not eat well."""
1091,虚度年华,"Qing Wu Jianren's ""Confused World"", Volume 9: ""When Liang Dao heard this, he felt uneasy in his heart."""
1092,不见天日,"""Mencius, Gaozi Shang"": ""Husband is playing with numbers, even decimals. If you don't concentrate on it, you won't be able to do it."""
1093,一无所获,"Song Yang Wanli's poem ""Send Peng Yuanzhong County Chief Returning to the North"": ""Recently, I have a unique eye, and I want to step on the top of the Tang Dynasty."""
1094,一无所有,"""Book of Songs: The Biography of Jiang Zhiyuan"": ""Everything a person should have, and what a person should be inexhaustible, is Jiang Zhiyuan!"""
1095,大开眼界,"Yuan, Anonymous's ""Contract Literature"" first fold: ""There is a child who is called Hold and Hold. This year, he is three years old. He is born with beautiful eyes and beautiful eyes. He is also a good child."""
1096,济济一堂,"Song Yan Yu's ""Canglang Poetry Talks: Poetry Discrimination"": ""There is a thorough understanding, and there is an understanding that is only half-understood."""
1097,一哄而散,"Qing Li Baojia's ""Official Scenes"" Chapter 27: ""Master Jia was lifting Master Wang's bedding by himself. When Master Wang came back and saw it through the crack of the door, he was immediately filled with anger and could not contain his anger."""
1098,一落千丈,"Ming Wu Chengen's ""Journey to the West"" Chapter 33: ""(Sanzang) was disturbed and said: 'Apprentice, why am I shivering?'"""
1099,面目全非,"Song Huang Tingjian's ""Luan Shanxi Gift to Hengyang Chen Xiang"": ""The eyebrows and dais converge on the autumn waves, and Hunan is full of beautiful mountains and rivers."""
1100,乐在其中,"Song Shi Weibai's ""Continued Chuan Deng Lu"": ""He will only put down from the air, and will not climb up step by step."""
1101,金石为开,"Yuan Wang Shifu's ""The Story of the West Chamber"", the third fold of the fourth book: ""Miss Jinyu's words, Xiaosheng's heart is remembered one by one."""
1102,高屋建瓴,"""The Analects of Confucius: Advanced"": ""Zigong asked: 'The teacher and the merchant are also worthy?' The master said: 'The teacher is too good, but the business is not as good.'"
1103,洛阳纸贵,"""Zuo Zhuan: The Thirteenth Year of Duke Huan"": ""When you raise your toes high, your heart is not solid."" ""Historical Records: Guanyan Biography"": ""The spirit is high, and it is very self-satisfied."""
1104,汗马功劳,"Cao Zhi of the Wei Dynasty of the Three Kingdoms, ""Seeking Self-Examination Form"": ""And the ministers who dare to report to Your Majesty are sincere and the same as the state, and those who share woes and sorrows."""
1105,固若金汤,"""Han Book of Rites and Music"": ""The sun and the moon are fine and healthy, the stars are in order, the five elements of yin and yang, and the cycle begins again and again."""
1106,有恃无恐,"Tang Hanyu's ""Changli Ji, Mr. Zhenyao's Epitaph"": ""It is a poem, and it is terrifying."""
1107,欲盖弥彰,"Ming Lingpuchu's ""First Engraving and Paid the Table Surprise"" Volume 22: ""The temple monk saw that he had no roots, and gradually ignored him and refused to stay with him. If he wants to go back to his hometown, he has nowhere to go."""
1108,风吹草动,"""Zhuangzi: Deliberately"": ""Blow and breathe, spit out the old and accept the new."""
1109,暗室不欺,"Song Wu Zimu's ""Dream Lianglu: Helping the Poor and Helping the Elderly"": ""Most of the wealthy people in Hangzhou are people from other prefectures...Sifang Department Stores are gathered together, and there are many people who have married and started businesses since then."""
1110,求贤若渴,"Song Fan Zhongyan's ""The Story of Yueyang Tower"": ""If you go to the tower, you will feel relaxed and happy...he is full of joy."""
1111,蜻蜓点水,"Tang Hanyu's poem ""Answer to Liuzhou Shrimp Toads"": ""The sound of the sound is harmonious, and it is only unreasonable to make trouble."""
1112,磨杵成针,"Ming Shi Nai'an's ""Water Margin Complete Biography"" Chapter 66: ""Playing as a monk has burned his head and forehead, and Ma Pozi has been driven to the point of shit."""
1113,路不拾遗,"Han Bangu's ""Baihutong, Three Religions"": ""Teachers are effective, the top is for it, and the bottom is for the bottom."""
1114,黄粱一梦,"Qing Yuan Mei's ""Suiyuan Poems"" Volume 3: ""Yuan and Bai were able to establish themselves in the Tang Dynasty because they did not follow the pattern of the prosperous Tang Dynasty."""
1115,拔苗助长,"Ming Shi Nai'an's ""Water Margin Complete Biography"" Chapter 67: ""The navy leader took boats to help the army and horses, and they transitioned one after another. I saw a popular person running into the future in a panic."""
1116,重蹈覆辙,"Song Chen Zao's ""Eight Songs of Traveling to Lingshan in the Yellow Book with Chen Zai"" self-note: ""Zaiyun: 'My generation can be said to be taking a break from busy schedules and making fun of hardships.'"""
1117,闻鸡起舞,"""Historical Records: Biography of Zhang Yi"": ""There was a period of time when two tigers fought each other, the big one was injured and the small one died. Zhuangzi stabbed the injured one, and in one fell swoop, he had the power of two tigers."""
1118,巾帼英雄,"""Xunzi, Tian Lun"": ""A gentleman does not give up because of the anger of the villain."""
1119,天怒人怨,"Chapter 13 of ""Lao Tzu"": ""Pampering and humiliation is astonishing... It is astonishing to get it, and it is astonishing to lose it. It is said that it is astonishing to be flattered and humiliated."" Pampered."""
1120,人情世故,"Ming Yuan Hongdao's ""Roaring Mountain"": ""The stone bones at the foot of the mountain were searched by craftsmen, the accumulated water was a pool, and the cave of Wangzhi was as black as ink, unfathomable."""
1121,锲而不舍,"Qing Li Baojia's ""Official Scenes"": ""It looks like he is seven or eight years old, with a fat head and big ears."""
1122,和衷共济,"""Shangshu, Wucheng"": ""The crime of the bottom business is reported to the emperor and the land, and the famous mountains and rivers he has passed."""
1123,口不应心,"""The Analects of Confucius Ji Shi"": ""People from afar are dissatisfied and cannot come, and the state is disintegrated and cannot be defended."""
1124,言为心声,"Han Zhaoqi's ""Three Fu Juelu"": ""The superior is less than Cui Du, and the inferior is more than Luo Zhao."" Jin Zhanghua's ""Wren Fu"": ""The superior is insufficient and the inferior is more than."""
1125,诚惶诚恐,"Northern Qi Yan Zhitui's ""Yan's Family Instructions Muxian"": ""Sneak and darken, natural like."""
1126,有条不紊,"""Book, Tai Oath"": ""Building virtues is for nourishment, and eliminating evil is the foundation."""
1127,地广人稀,"""Records of the Grand Historian: Biography of Li Si"": ""The decrees and punishments are becoming more and more profound, and all the ministers are in danger, and there are many who want to be there."""
1128,痛心疾首,"Tang Liu Zongyuan's ""Snake Catcher's Talk"": ""Those who are horrified by uproar, although chickens and dogs can't rest."""
1129,无忧无虑,"Qing Cao Xueqin's ""Dream of Red Mansions"" Chapter 79: ""This family is originally an old family, and it is also a registered businessman in the Ministry of Household with us, and it is also one of the largest portals."""
1130,风雨如晦,"Ming Ling Puchu's ""Amazing at the Second Moment"": ""Who knew that Sumei had a ghost in her heart, but she just sighed, so sad, and went back to her room silently."""
1131,旗开得胜,"Song Yu Wenbao's ""Qing Ye Lu"": ""Fan Wenzhenggong Town Qiantang, all the soldiers and officers were recommended, and Su Lin was not recorded in the independent inspection, but he wrote a poem saying: 'The moon is the first to get the moon, and the flowers and trees in the sun are easy to meet the spring.'"""
1132,后发制人,"Song Chen Liang's ""Fu Lu Boshou"": ""The test revealed the list, and Fu Cheng released the brown in front of the Chonghua Hall, which was welcomed by the public. This election has gained weight. Those who are in the list of friends and friends will have a brighter spirit."""
1133,任劳任怨,"Ming Feng Menglong's ""Jing Shi Tong Yan"", Volume 32: ""I have no such intentions. But it costs a lot of money to be enrolled in the Jiaofang. I am so empty, what can I do?"""
1134,迥然不同,"Yuan, Wu Changling's ""Zhang Tianshi"" the third fold: ""You will be eloquent in Hugh, arguing with others, saying that people are good or bad, slandering people ambiguous, and hurting people's behavior."""
1135,饮水思源,"""Guiguzi Benjing Fu"": ""Too many words must have several shortcomings."""
1136,气喘吁吁,"Han Wang Bao's ""Ode to the Holy Master Obtaining a Virtuous Minister"": ""Concentrate on each other, and benefit from each other."""
1137,何乐不为,"Qing Dynasty Wu Jianren's ""Pain History"" Chapter 21: ""My quest for death, your quest for life, is to go its own way."""
1138,愁肠百结,"The fifth chapter of ""Pain History"" by Wu Jianren of Qing Dynasty: ""Although there were many Yuan soldiers outside the city, Zhang Shijie was in the front, Zong Ren and Zong Yi were behind, and they rushed into the battle like living dragons and tigers."""
1139,天寒地冻,"""Guan Yinzi Three Poles"": ""The principles of the world are advocated by husbands and followed by women."""
1140,披坚执锐,"""Song Shu, Liu Yigong Biography"": ""The ancestor of the ancestors went to Xinting, and Shao took Yigong to fight. Henglu was on the left and right, so he couldn't extricate himself."""
1141,披沙拣金,"""Zhuangzi: The Great Master"": ""Be kind to demons, be kind to old people, be good to beginning and end."" ""Records of the Grand Historian - Praise of the Family of Prime Minister Chen"": ""To end with honorable names and to be called virtuous prime ministers, wouldn't it be good to begin and end well?"""
1142,腰缠万贯,"Song Huang Gan's ""Huang Mianzhai Collected Works"" Volume 4: ""Abstain from fear and be independent, don't wait for reluctance, don't think about it, just a thought, the meaning is there."""
1143,死而复生,"Qing Cao Xueqin's ""A Dream of Red Mansions"" Chapter 57: ""I said good things, but I told you to pay attention, and I didn't tell you to go wrong."""
1144,惹是生非,"Qing Li Baojia's ""Official Realm"" Chapter 33: ""When Fantai sees people not coming to manage, he has the heart to do business, and starts with Yu Xunchen."""
1145,待价而沽,"Tang Hanyu's ""Preface to Guan Shi Shi Shi"": ""If a horse is driving a light cart, he is familiar with the road, and Wang Liang and Zaofu followed it."""
1146,拭目以待,"""Gongyang Biography: The Fourteenth Year of Ai Gong"": ""To set aside the troubled times and oppose the righteousness, do not approach the ""Spring and Autumn""."""
1147,摇唇鼓舌,"Yuan Guan Hanqing's ""Xie Tianxiang"", the second fold: ""I tried all my tricks to break my stomach, and the golden cicada that I couldn't find escaped its shell."""
1148,悲欢离合,"""The Analects of Confucius, Duke Ling of Wei"": ""People with lofty ideals and benevolent people do not seek life to harm benevolence, but kill themselves to achieve benevolence."""
1149,姹紫嫣红,"Yuan Anonymous's ""Peach Blossom Girl"" 3rd fold: ""Being so vicious, you must be stiff and dead."""
1150,雄心勃勃,"The fourth chapter of Qing Anonymous's ""Official Restoration Records"": ""You Chinese soldiers, when something goes wrong, they either break up in the middle of the battle or run away. That's not about my teaching, it's about your own precautions."""
1151,博学多才,"""Guliang Biography: The Year of Yin"": ""Why is it so much about Uncle Zheng? Uncle Zheng has deliberately planned to kill it."""
1152,慷慨激昂,"""Han Shu Wang Zun Biography"": ""Ming Shen's job, don't try the law by yourself."""
1153,丧尽天良,"Ming Feng Menglong's ""Records of the Kingdoms of the Eastern Zhou Dynasty"", Chapter 12: ""You must fake someone else's hand and die on the road before you can hide your eyes and ears."""
1154,赤胆忠心,"""Book of Zhou, Guo Yan's Biography"": ""The desperados are obliged to serve."""
1155,隔靴搔痒,"""Mencius Li Lou Xia"": ""Look up and think about it, night and day."""
1156,当务之急,"In ""Zhuangzi Tianzi Fang"", Yan Yuan said to Confucius: ""Master walks in steps, Master tends to follow, Master gallops and gallops, Master runs away from the dust, and looks back like a back."""
1157,人迹罕至,"""Yin Fu Jing"" volume: ""Sink water into fire, self-destruction."""
1158,绝无仅有,"Tang Hanyu's ""Return to the Prime Minister's Book on the Nineteenth Days Later"": ""Walking and not resting, in order to walk in the water and fire of poverty and hunger, it is dangerous and urgent, and it is loud and screaming."""
1159,出乎预料,"""Book of Changes: Great Guo"": ""Guo annihilates the top, fierce."""
1160,出乎意料,"""The Biography of Li Gu in the Book of the Later Han Dynasty"": ""The opening of the door is bribed, and the office is not inferior, and the world is full of complaints and complaints."""
1161,毁于一旦,"""Xunzi Yibing"": ""Considerations must be made first and apply to them with respect, be careful about the end, be the same as the beginning, and be the same as the beginning. This is called great luck."""
1162,妄自菲薄,"""Mencius: All the Heart"": ""Everyone is happy with it, and they think they are right."""
1163,不得而知,"Qing, Pu Songling's ""Strange Tales from a Liaozhai, Old Dragon Boat Household"": ""The grievances are already severe, and the woodcarving has a lot of concerns. How can it be so dark in eastern Guangdong!"""
1164,莫衷一是,"""Three Kingdoms, Wu Zhi, Sun Quan's Biography"", Pei Songzhi's annotation quoted ""Wu Shu"": ""As the ratio of ministers, the amount of fighting in vehicles is innumerable."""
1165,束手无策,"""The History of the Old Five Dynasties Zhou Tang Jingsi Biography"": ""The city was trapped in the next few days, but Jing Si stepped forward."""
1166,一无所成,"""Han Shu: Wang Mang's Biography"": ""One hundred thousand people gathered together, and they worked together for 20 years, and they were successful."""
1167,化险为夷,"Qing Ji Yun's ""Notes on Yuewei Thatched Cottage"", Volume 1: ""Song Confucianism accumulated a lifetime of energy, carefully choosing words and sentences, and it was definitely beyond the reach of Han Confucianism."""
1168,绳之以法,"Yuan Guan Hanqing's ""Dou E's Injustice"" first fold: ""Wait until he has a change of heart, and then he will deal with it."""
1169,祸起萧墙,"The fifth chapter of Qing Chen Chen's ""Aftermath of the Water Margin"": ""After walking for half a day, I was hungry and devoured it once."""
1170,浩如烟海,"""Wei Shu Yuan Fan Biography"": ""Fu wishing that the heaven and the earth were created, there is a beginning and an end, the noble ministers are tired and sick, and they beg for the bones of the ministers."""
1171,相敬如宾,"Qing Li Baojia's ""Official Scenes"" Chapter 49: ""I have worked hard all my life and earned this share of everyone's personal interests. After I die, there is no one to inherit the lineage. I don't know why I kept this money in the first place."""
1172,如履薄冰,"""Zizhitongjian: The First Year of Empress Wu's Magical Powers"": ""Now I know that Wei is good at it with robes, so that the court can't add more."
1173,披星戴月,"Jin Gehong's ""Shen Xian Ji Wang Yuan"": ""The clothes are literary, but they are not Jinqi, dazzling and indescribable."""
