,Chengyu,Appearances,Topic,Definition,Explanation,Frequency,Pinyin,English Definition,English Explanation,Example
1097,言而无信,10,International news,《论语·为政》：“七十而从心所欲，不逾矩。”,揆度：估量，揣测。形容情况复杂，使人无法推测,3,yán ér wú xìn,"""The Analects of Confucius: For Politics"": ""At seventy, do what you want without breaking the rules.""","Consider: estimate, speculate. Describe the complexity of the situation, making it impossible to speculate",毛泽东始终倡导党员干部“做老实人”。1939年，他在谈及儒家“知仁勇”时说，“如果做事不忠实，那‘知’只是言而无信，仁只是假仁，勇只是白勇”。
1098,微乎其微,2,culture,《汉书·刑法志》：“守县官财物而即盗之。已论命复有笞罪者，皆弃市。”颜师古注：“即今律所谓主守自盗者也。”,写人-心绪-_-⑻为难（无奈）,2,wēi hū qí wēi,"""Han Book of Criminal Law"": ""Guarding the property of the county officials and stealing it. Those who have been accused of flogging, all have abandoned the city."" Yan Shigu commented: ""This is the so-called master of the law and the person who steals from himself.""",Writing about people - mind -_- (8) difficult (helpless),但在有些单位，“写”的方面依然存在种种问题，有的文电材料仍沾染着形式主义的不实之风，动笔之前不作深入细致的调查研究，出炉的东西空话、套话、大话多；有的言之无物，文电材料只是在机关打转转，缺乏实实在在的工作指导性，结果总是陷入“从材料中来，到材料中去”的怪圈之中，偏离了“一切工作都必须坚持战斗力标准”这个备战打仗的核心要求，实际价值微乎其微。纠治这些“写”出来的形式主义，应该紧紧围绕“实”字做文章，一切行文办文均应落脚到能打仗、打胜仗上来。
1099,重见天日,2,mainland China politics,《战国策·齐策五》：“秦王恐之，寝不安席，食不甘味。”,能看清深水中的鱼。比喻为人过于精明。,2,chóng jiàn tiān rì,"""Warring States Policy: Qi Policy Five"": ""The king of Qin was afraid of him, he could not sleep well, and he could not eat well.""",The ability to see the fish in deep water. The metaphor is that one is too shrewd.,”中国梦是历史的、现实的，也是未来的；是我们这一代的，更是青年一代的。在奋斗中释放青春激情、追逐青春理想，新时代中国青年就一定能以青春之我、奋斗之我，为民族复兴铺路架桥，为祖国建设添砖加瓦，为实现中国梦注入磅礴的青春力量。 新华社济南1月24日电 1月24日，山东笏山金矿事故救援现场，井下已发现的11名幸存矿工，全部成功升井。他们被困井下长达14天，最终重见天日，这堪称矿难救援史上的生命奇迹。
1100,虚度年华,3,culture,清·吴趼人《糊涂世界》卷九：“两道听了这话，心里忐忑不定。”,罢黜：废弃不用。原指排除诸子杂说，专门推行儒家学说。也比喻只要一种形式，不要其他形式。,2,xū dù nián huá,"Qing Wu Jianren's ""Confused World"", Volume 9: ""When Liang Dao heard this, he felt uneasy in his heart.""","Dismissed: Discarded. Originally, it refers to the exclusion of all sons and daughters and the exclusive implementation of Confucianism. It also refers to the fact that only one form is needed and no other form is wanted.",新时代为每个有梦想、有决心创造美好生活的人提供了宽广的舞台和无限的可能。生活总是向前，机遇稍纵即逝。我们不能躺在过去的功劳簿上睡大觉，也不能在最好的位置上享清福。当回首往事时，那些不求有功、但求无过的人，是否会因虚度年华而悔恨？
1101,不见天日,1,None,《孟子·告子上》：“夫今弈之为数，小数也，不专心致志，则不得也。”,轻：轻易；然诺：许诺。不随便许诺什么。形容人守信用,1,bù jiàn tiān rì,"""Mencius, Gaozi Shang"": ""Husband is playing with numbers, even decimals. If you don't concentrate on it, you won't be able to do it.""",Light: easily; Ranno: promise. Not to promise anything casually. Describe a person who keeps his word,None
1102,一无所获,3,Hong Kong - Macau politics,宋·杨万里《送彭元忠县丞北归》诗：“近来别具一只眼，要踏唐人最上关。”,用来比喻作品胜过同时代有名的作家。,2,yī wú suǒ huò,"Song Yang Wanli's poem ""Send Peng Yuanzhong County Chief Returning to the North"": ""Recently, I have a unique eye, and I want to step on the top of the Tang Dynasty.""",It is used as a metaphor for a work that is superior to that of a famous writer of the same generation.,不妨想想这样一个朴素的道理：鸿鹄之志固然难以触手可及，但也并非可望而不可即；在奋斗这件事上，也许一时不能有所收获，但不奋斗必然一无所获。你在追梦道路上留下的奋斗足迹，本身就是一部长篇杰作。
1103,一无所有,1,financial news,《宋书·江智渊传》：“人所应有尽有，人所应无尽无，其江智渊乎！”,写事-情况-⑺文化艺术-佳作,1,yī wú suǒ yǒu,"""Book of Songs: The Biography of Jiang Zhiyuan"": ""Everything a person should have, and what a person should be inexhaustible, is Jiang Zhiyuan!""",Writing - Situation - (7) Culture and Art - Masterpiece,有人说，在不久的将来，人工智能等数字化基础设施会像水、电一样普及。但是，如果我们没有新基建最底层的基础技术、核心技术，就没有把主动权、竞争力真正掌握在自己手里。这就像铺设好了水管、架好了电线，却无法掌握来水时间、来水多少，供电时间、供电多少一样。回看我国通信行业发展历程，从1G到5G，正是得益于编码技术、基带芯片、核心元器件等方面的基础性突破，才从一无所有逐渐实现了跟跑到并跑甚至部分领跑的转变。
1104,大开眼界,1,financial news,元·无名氏《合同文学》第一折：“有个小孩唤做按住，今年三岁，生得眉清目秀，是好一个孩儿也。”,指作品的好，不是当时的人所能比。,1,dà kāi yǎn jiè,"Yuan, Anonymous's ""Contract Literature"" first fold: ""There is a child who is called Hold and Hold. This year, he is three years old. He is born with beautiful eyes and beautiful eyes. He is also a good child.""","It refers to the goodness of the work, which is not comparable to the people of that time.",随着5G商用部署加速，一幅幅令人大开眼界的应用图景渐次展开。
1105,济济一堂,1,mainland China politics,宋·严羽《沧浪诗话·诗辨》：“有透彻之悟，有但得一知半解之悟。”,彀中：弓箭射程以内，比喻牢笼、圈套。尽数网罗，全部就范。,1,jǐ jǐ yī táng,"Song Yan Yu's ""Canglang Poetry Talks: Poetry Discrimination"": ""There is a thorough understanding, and there is an understanding that is only half-understood.""","Enough: within the range of the bow and arrow, a metaphor for a cage or trap. The whole of the net is in place.",爱国爱港没有模糊地带，留给乱港分子的时间已经不多了。真心悔改，尚有空间；冥顽不灵，必遭严惩！ 早春三月，万物勃发。2021年全国两会在万众瞩目中胜利召开，近3000名全国人大代表和2000多名全国政协委员济济一堂，共商“十四五”发展大计。
1106,一哄而散,1,mainland China politics,清·李宝嘉《官场现形记》第二十七回：“贾大少爷正在自己动手掀王师爷的铺盖，被王师爷回来从门缝里瞧见了，顿时气愤填膺，怒不可遏。”,不追求名誉和地位。,1,yī hòng ér sàn,"Qing Li Baojia's ""Official Scenes"" Chapter 27: ""Master Jia was lifting Master Wang's bedding by himself. When Master Wang came back and saw it through the crack of the door, he was immediately filled with anger and could not contain his anger.""",Not seeking fame and status.,如果我们事事以自己为中心，一事当前先打“小算盘”，那么就会有利可图一哄而上、无利可图一哄而散，最终一事无成。
1107,一落千丈,3,sports,明·吴承恩《西游记》第33回：“（三藏）心神不宁道：‘徒弟啊，我怎么打寒噤呢？’”,看见猪趴在路上。比喻肮脏污秽。,2,yī luò qiān zhàng,"Ming Wu Chengen's ""Journey to the West"" Chapter 33: ""(Sanzang) was disturbed and said: 'Apprentice, why am I shivering?'""","Seeing a pig lying on the road. Metaphorically speaking, it is dirty and filthy.",这也意味着中国队赢得了第七届世界军人运动会乒乓球男子团体赛金牌，这是中国队在本届军运会设立乒乓球项目后斩获的首枚金牌。谁曾想过，如今队里扛大旗的樊振东，在一度“少年得志”后，却连遭打击。成为全队的主力队员后，也曾一度输球，成绩一落千丈。但樊振东从未放弃，百折不挠，向冠军的道路不停进发、冲刺、问鼎。
1108,面目全非,2,Hong Kong - Macau politics,宋·黄庭坚《蓦山溪·赠衡阳陈湘》：“眉黛敛秋波，尽湖南，山明水秀。”,形容著名的文章。也指有名的作家。,2,miàn mù quán fēi,"Song Huang Tingjian's ""Luan Shanxi Gift to Hengyang Chen Xiang"": ""The eyebrows and dais converge on the autumn waves, and Hunan is full of beautiful mountains and rivers.""",Describes a famous article. It also refers to a famous writer.,黑色恐怖之下，香港市民失去上班、上学、行街的自由，更会因表达正义之声而被谋害。多少人被暴徒打得头破血流，多少商店被破坏得惨不忍睹，多少公共设施被摧毁得面目全非。极为讽刺的是，美国政客居然粉饰暴行，把这称之为“一道美丽的风景线”，对人权和民主的尊重何在？
1109,乐在其中,3,culture,宋·释惟白《续传灯录》：“他只会从空放下，不会步步登高。”,指具有某种技能的人，一遇机会，便情不自禁地想表现一下。,2,lè zài qí zhōng,"Song Shi Weibai's ""Continued Chuan Deng Lu"": ""He will only put down from the air, and will not climb up step by step.""",It refers to a person who has a certain skill and can't help but want to show it when an opportunity arises.,有的人，干工作的动机不是追求为老百姓谋利益，而是以个人仕途升迁为出发点，热衷大轰大嗡做表面文章。其二，有的人，明知文山会海等等不仅没有什么实际意义，反而劳民伤财、增加基层负担、助长浮躁浮夸，但或出于无奈或乐在其中，以会议落实会议，以讲话贯彻讲话，甚至用形式主义整治形式主义。
1110,金石为开,2,International news,元·王实甫《西厢记》第四本第三折：“小姐金玉之言，小生一一铭之肺腑。”,比喻有高才的人得到发挥的机会。,2,jīn shí wèi kāi,"Yuan Wang Shifu's ""The Story of the West Chamber"", the third fold of the fourth book: ""Miss Jinyu's words, Xiaosheng's heart is remembered one by one.""",It is a metaphor for a person with high talent being given the opportunity to play.,”金正恩委员长热情洋溢的话语，表达了对习近平总书记的高度认同，也表明了朝方希望同中方加强战略沟通、共同维护协商对话势头的积极意愿。机遇面前，需要准确把握问题的关键，更需要总揽全局的智慧和驾驭大势的能力。这次历史性会晤中，习近平总书记充分肯定朝鲜半岛形势发生的积极变化，呼吁各方支持半岛北南双方改善关系，强调中方愿在半岛问题上继续发挥建设性作用，为确保半岛无核化、不战不乱指明了方向。我们坚信，精诚所至，金石为开，只要有关各方拿出诚意、彼此响应、形成合力，就一定能够共同推动半岛形势走向缓和。
1111,高屋建瓴,31,culture,《论语·先进》：“子贡问：‘师与商也孰贤？’子曰：‘师也过，商也不及。’曰：‘然则师愈与？’子曰：‘过犹不及。’”,写人-经历-⑶境况-顺境,4,gāo wū jiàn líng,"""The Analects of Confucius: Advanced"": ""Zigong asked: 'The teacher and the merchant are also worthy?' The master said: 'The teacher is too good, but the business is not as good.'",Writing about people - experiences - (3) situations - good situations,习近平总书记的重要讲话高屋建瓴、思想深邃、内涵丰富，是推进全面从严治党向纵深发展的重要遵循。
1112,洛阳纸贵,1,None,《左传·桓公十三年》：“举趾高，心不固矣。”《史记·管晏列传》：“意气扬扬，甚自得也。”,旧时比喻怀才隐退。,1,luò yáng zhǐ guì,"""Zuo Zhuan: The Thirteenth Year of Duke Huan"": ""When you raise your toes high, your heart is not solid."" ""Historical Records: Guanyan Biography"": ""The spirit is high, and it is very self-satisfied.""","In the old days, it was a metaphor for the retreat of talent.",None
1113,汗马功劳,4,mainland China politics,三国魏·曹植《求自试表》：“而臣敢陈闻于陛下者，诚与国分形同气，忧患共之者也。”,从：顺从；服：服从。像顺风倒下一样就迅速服从了。比喻弱者折服于强势,2,hàn mǎ gōng láo,"Cao Zhi of the Wei Dynasty of the Three Kingdoms, ""Seeking Self-Examination Form"": ""And the ministers who dare to report to Your Majesty are sincere and the same as the state, and those who share woes and sorrows.""",From: obey; obey: submit. Like the wind fell down then quickly obeyed. A metaphor for the weak yielding to the strong,疫情暴发之初，习近平总书记就关心爱护参与疫情防控工作的医务人员专门作出重要指示，强调医务人员是战胜疫情的中坚力量，务必高度重视对他们的保护、关心、爱护，从各个方面提供支持保障，使他们始终保持强大战斗力、昂扬斗志、旺盛精力，持续健康投入战胜疫情斗争。在党中央的坚强领导下，全国340多支医疗队、42000多名医务人员火线驰援湖北，可以说，他们为国内疫情防控立下了汗马功劳，是新时代最可爱的人。
1114,固若金汤,3,culture,《汉书·礼乐志》：“精健日月，星辰度理，阴阳五行，周而复始。”,绸缪：紧紧缠绕。紧紧地把柴草捆扎成捆儿。比喻男婚女嫁，各得其所,2,gù ruò jīn tāng,"""Han Book of Rites and Music"": ""The sun and the moon are fine and healthy, the stars are in order, the five elements of yin and yang, and the cycle begins again and again.""","绸缪：Tightly twist. Tie the firewood tightly into bundles. The metaphor is that a man marries a woman and a man marries a man, each in his own way",”很难想象，武器装备极端落后，生活条件极其艰苦，八路军如何能够得到相对可靠的后勤保障？如何能够创造一个个“无法复制的战争奇迹”，越打越多、越打越强？其诀窍不是秘密，而是公之于世的真理：只有动员群众才能进行战争，只有依靠群众才能赢得战争。民心所向，固若金汤。广大群众为部队提供了无数双耳目、无数双手足，建立起了打不断的“补给线”、摧不垮的“根据地”，“造成了陷敌于灭顶之灾的汪洋大海，造成了弥补武器等等缺陷的补救条件，造成了克服一切战争困难的前提”。
1115,有恃无恐,9,Hong Kong - Macau politics,唐·韩愈《昌黎集·贞曜先生墓志铭》：“及其为诗，刿目怵心。”,临：遭遇，碰到；惧：或惧。遇事谨慎戒惧。,3,yǒu shì wú kǒng,"Tang Hanyu's ""Changli Ji, Mr. Zhenyao's Epitaph"": ""It is a poem, and it is terrifying.""","Lin: encounter, encounter; Fear: or fear. Caution and fear in all matters.",暴徒气焰嚣张地鼓吹“港独”，喊出“光复香港、时代革命”的口号，叫嚷“与中国断交”。暴乱组织策划者公开发表言论，有恃无恐地攻击中央政府，厚颜无耻地称香港人是“伟大的民族”，更大肆唱衰中国，公然叫嚣颠覆国家。
1116,欲盖弥彰,2,International news,明·凌濛初《初刻拍案惊奇》卷二十二：“寺僧见了他无了根蒂，渐渐怠慢，不肯相留。要回故乡，已此无家可归。”,写人-德才-⑸谦虚-谨慎,2,yù gài mí zhāng,"Ming Lingpuchu's ""First Engraving and Paid the Table Surprise"" Volume 22: ""The temple monk saw that he had no roots, and gradually ignored him and refused to stay with him. If he wants to go back to his hometown, he has nowhere to go.""",Writing about people - Virtue and talent - (5) Modesty and prudence,美国政府的这一做法虽逞一时之快，看似咄咄逼人，却欲盖弥彰，暴露出美国色厉内荏、极度缺乏自信的一面，粉碎了长期以来关于美国的“三个神话”。
1117,风吹草动,6,Hong Kong - Macau politics,《庄子·刻意》：“吹呴呼吸，吐故纳新。”,机变：机智、权变。机智权变，神奇莫测。,3,fēng chuī cǎo dòng,"""Zhuangzi: Deliberately"": ""Blow and breathe, spit out the old and accept the new.""","Change: resourcefulness, power change. The wisdom and power of change are magical and unpredictable.",我国是世界上人均耕地最少的国家之一，18亿亩耕地要养活14亿人，吃饭问题始终是头等大事，粮食安全始终是直接关系我国发展的战略问题。习近平总书记提出坚决制止餐饮浪费行为，有对我国粮食安全问题的战略考量。他指出：“尽管我国粮食生产连年丰收，对粮食安全还是始终要有危机意识，今年全球新冠肺炎疫情所带来的影响更是给我们敲响了警钟。”我国粮食生产连年丰收，粮食安全形势持续向好，但也要清醒看到，我国粮食中长期供求仍呈紧平衡状态，影响粮食安全的潜在风险隐患也在增多。粮食安全是国家安全的重要基础，粮食产业稍有“风吹草动”，便会影响经济社会稳定发展。
1118,暗室不欺,1,mainland China politics,宋·吴自牧《梦梁录·恤贫济老》：“杭城富室多是外郡寓之人……四方百货，不趾而集，自此成家立业者众矣。”,非意：意料之外，，干：冒犯。意外的无故冒犯。,1,àn shì bù qī,"Song Wu Zimu's ""Dream Lianglu: Helping the Poor and Helping the Elderly"": ""Most of the wealthy people in Hangzhou are people from other prefectures...Sifang Department Stores are gathered together, and there are many people who have married and started businesses since then.""","Non-intended: unexpected,, dry: offended. Unexpected unwarranted offense.",官员在独处时想什么、做什么？如果没有外人的监督，是否能做到不做亏心之事，不放纵自己，不做有违道德良知、党纪国法之事？这需要很强的个人道德定力和境界修养。纵观几千年中国文化，古圣先贤都把“吾日三省吾身”“不自欺”“处世当无愧于心”“暗室不欺”等看作“慎独”的一种表达。
1119,求贤若渴,2,financial news,宋·范仲淹《岳阳楼记》：“登斯楼也，则有心旷神怡……其喜洋洋者矣。”,叠足而立，不敢迈步。形容恐惧,2,qiú xián ruò kě,"Song Fan Zhongyan's ""The Story of Yueyang Tower"": ""If you go to the tower, you will feel relaxed and happy...he is full of joy.""","Stand with folded feet, not daring to take a step. Describe fear",”党的执政基础能不能坚如磐石，党和人民的事业能不能无往不胜，关键靠不断提高党的领导水平和执政水平，靠培养造就一大批高素质人才。寻觅人才求贤若渴，发现人才如获至宝，举荐人才不拘一格，为各类人才铺就成长进步、施展才华的舞台，提供人生出彩、梦想成真的机会，党和国家的事业必将越来越兴旺。
1120,克勤克俭,1,culture,南朝宋·刘义庆《世说新语·容止》：“今日之行，触目见琳琅珠玉。”,写人-感情-⑺惊惧-恐惧,1,kè qín kè jiǎn,南朝宋·刘义庆《世说新语·容止》：“今日之行，触目见琳琅珠玉。”,Writing about people - feelings - (7) fear - fear,中华民族素有克勤克俭、积极进取、自强不息的精神，有修身、齐家、治国、平天下的家国情怀。
1121,蜻蜓点水,12,mainland China politics,唐·韩愈《答柳州食虾蟆》诗：“鸣声相呼和，无理只取闹。”,写事-事态-⑹关联-存在,3,qīng tíng diǎn shuǐ,"Tang Hanyu's poem ""Answer to Liuzhou Shrimp Toads"": ""The sound of the sound is harmonious, and it is only unreasonable to make trouble.""",Writing about events - states of affairs - (6) association - presence,下去调查了解蜻蜓点水、走马观花。
1122,磨杵成针,1,culture,明·施耐庵《水浒全传》第六十六回：”耍和尚烧得头焦额烂，麻婆子赶得屁滚尿流。”,绝裾：扯断衣襟。形容决意要离去,1,mó chǔ chéng zhēn,"Ming Shi Nai'an's ""Water Margin Complete Biography"" Chapter 66: ""Playing as a monk has burned his head and forehead, and Ma Pozi has been driven to the point of shit.""",Extinct train: Tear off the lapel. Describing the determination to leave,“两弹元勋”邓稼先常年风餐露宿，不仅披肝沥胆制定核试验理论方案，还时常深入西北戈壁滩试验场掌握第一手试验资料。长征五号火箭总设计师李东十年磨一“箭”，率领技术团队解决了复杂力热环境、大质量多干扰分离等世界性难题，探索出大推力火箭研制之路。有研究表明，科学家的优势不仅靠智力，更主要的是专注和勤奋，经过长期探索而在某个领域形成优势。科技工作者进军前所未知的“无人区”，攀登人迹罕至的“高寒带”，不是因为有奇计妙招，而是因为有“更上一层楼”的韧劲，有“独钓寒江雪”的毅力。“一其心”心无旁骛，“冷板凳”沉静稳坐，“刨根问底”上下求索，“磨杵成针”独具匠心，最终才会有所发现、有所发明、有所创造。
1123,路不拾遗,1,culture,汉·班固《白虎通·三教》：“教者，效也，上为之，下效之。”《旧唐书·贾曾传》：“上行下效，淫俗将成。”,不可接近。,1,lù bù shí yí,"Han Bangu's ""Baihutong, Three Religions"": ""Teachers are effective, the top is for it, and the bottom is for the bottom.""",Inaccessible.,今日之乡村，蕴藏着无限希望，也面临着新的挑战。“绿树村边合，青山郭外斜”般的田园风光，如何有效留存？“路不拾遗，夜不闭户”的文明乡风，如何涵养赓续？
1124,黄粱一梦,1,Hong Kong - Macau politics,清·袁枚《随园诗话》卷三：“元、白在唐朝所以能独树一帜者，正为其不袭盛唐窠臼也。”,比喻不承担责任或两者不相干。,1,huáng liáng yī mèng,"Qing Yuan Mei's ""Suiyuan Poems"" Volume 3: ""Yuan and Bai were able to establish themselves in the Tang Dynasty because they did not follow the pattern of the prosperous Tang Dynasty.""",It is a metaphor for not taking responsibility or both.,奉劝美方一些人立即停止支持激进暴力犯罪行为，立即停止利用香港问题干涉中国内政。如果一意孤行，中方必将采取有力措施予以坚决反制！任何搞乱香港的图谋都是痴心妄想，注定是黄粱一梦，自食苦果！
1125,拔苗助长,3,financial news,明·施耐庵《水浒全传》第六十七回：“水军头领棹船接济军马，陆续过渡，只见一个人气急败坏跑将来。”,炊：烧火做饭。数着米粒做饭。比喻计较小利。也形容生活困难。,2,bá miáo zhù zhǎng,"Ming Shi Nai'an's ""Water Margin Complete Biography"" Chapter 67: ""The navy leader took boats to help the army and horses, and they transitioned one after another. I saw a popular person running into the future in a panic.""","Cook: To burn a fire to make rice. Counting the grains of rice for cooking. Metaphorically speaking, counting small profits. It also describes the difficulty of living.",然而，也有许多人，并不懂得这个道理，或是变换奋斗目标如同看电视换台，三天打鱼两天晒网，或是渴望一夜暴富，工于取巧、偷奸耍滑。殊不知，拔苗助长必适得其反，急功近利必自毁长城。
1126,重蹈覆辙,4,mainland China politics,宋·陈造《同陈宰黄簿游灵山八首》自注：“宰运：‘吾辈可谓忙里偷闲，苦中作乐。’”,写事-对立-⑵强大、弱小-强及大,2,chóng dǎo fù zhé,"Song Chen Zao's ""Eight Songs of Traveling to Lingshan in the Yellow Book with Chen Zai"" self-note: ""Zaiyun: 'My generation can be said to be taking a break from busy schedules and making fun of hardships.'""","Writing things-opposites-(2) strong, weak-strong and big",总结既是经验积累、增长才干、避免重蹈覆辙的重要方法，又是进入研究状态的基础。
1127,闻鸡起舞,2,mainland China politics,《史记·张仪列传》：“有顷，两虎果斗，大者伤，小者死，庄子从伤者而刺之，一举果有双虎之功。”,尊者谦虚而显示其美德。,2,wén jī qǐ wǔ,"""Historical Records: Biography of Zhang Yi"": ""There was a period of time when two tigers fought each other, the big one was injured and the small one died. Zhuangzi stabbed the injured one, and in one fell swoop, he had the power of two tigers.""",His Holiness showed his virtue by being humble.,今天，中国的劳动大军正在逐步“迭代”，“80后”“90后”甚至“00后”已经成为建设生力军，这些年轻人继承并发扬着他们父辈的敬业精神，“闻鸡起舞”“只争朝夕”就是他们的工作常态。
1128,巾帼英雄,3,mainland China politics,《荀子·天论》：“君子不为小人之汹汹也辍行。”,眉寿：长寿。祝人高寿的颂辞。,2,jīn guó yīng xióng,"""Xunzi, Tian Lun"": ""A gentleman does not give up because of the anger of the villain.""",Meisou: Longevity. A tribute to wish someone a high life.,回望我们党波澜壮阔的非凡历程，巾帼英雄灿若繁星。
1129,天怒人怨,1,Hong Kong - Macau politics,《老子》第十三章：“宠辱若惊……得之若惊，失之若惊，是谓宠辱若惊。”宋·苏轼《谢中书舍人启》：“省躬无有，被宠苦惊。”,写人-心绪-_-⒂镇静,1,tiān nù rén yuàn,"Chapter 13 of ""Lao Tzu"": ""Pampering and humiliation is astonishing... It is astonishing to get it, and it is astonishing to lose it. It is said that it is astonishing to be flattered and humiliated."" Pampered.""",Writing about people - mind -_- (15) sedation,”中国尽己所能、量力而行的对外抗疫援助，是新中国成立以来援助时间最集中、涉及范围最广的一次紧急人道主义行动，充分展现了中华民族大道之行、天下为公的宽阔胸襟和乐善好施、扶危济困的侠肝义胆，是中国坚持正确义利观、践行人类命运共同体理念的生动体现，赢得国际社会广泛赞誉。 香港极端暴力行动持续蔓延，正在将香港推向沉沦的边缘。8月13日下午起，大批示威者在机场集结，瘫痪机场运作，严重影响出入境旅客。14日凌晨，更是在众目睽睽之下，突破法治底线、道德底线、人性底线，悍然殴打记者和旅客。香港各界对此暴行纷纷予以严厉谴责，呼吁警方严正追究，将涉案者绳之以法，坚决剔除这些天怒人怨的“老鼠屎”。
1130,人情世故,1,culture,明·袁宏道《吼山》：“山下石骨为匠者搜去，积水为潭，望之洞黑如墨汁，深不可测。”,形体象土木一样。比喻不加修饰。,1,rén qíng shì gù,"Ming Yuan Hongdao's ""Roaring Mountain"": ""The stone bones at the foot of the mountain were searched by craftsmen, the accumulated water was a pool, and the cave of Wangzhi was as black as ink, unfathomable.""",The form is like earth and wood. The metaphor is unadorned.,要从平淡的日子中咂摸出趣味，离不开对生活的敏锐洞察，对人情世故的深刻洞悉，对知识阅历的深厚积淀。
1131,锲而不舍,73,sports,清·李宝嘉《官场现形记》：“看上去有七八岁光景，倒生的肥头大耳。”,写事-对立-⑼真假-真,5,qiè ér bù shě,"Qing Li Baojia's ""Official Scenes"": ""It looks like he is seven or eight years old, with a fat head and big ears.""",Writing things-opposites-(9) true-false-true,读原著、学原文、悟原理是学习理论的有效方式，也是培养和锻炼理论思维的根本途径。1939年，毛泽东同志在谈读书时曾说：“在中国，本来读书就叫攻书，读马克思主义就是攻马克思的道理，你要读通马克思的道理，就非攻不可，读不懂的东西要当仇人一样地攻它。”“攻书”，是一种不畏险阻、锲而不舍的读书态度，是一种穷究于理、学习到底的读书精神。
1132,和衷共济,51,Hong Kong - Macau politics,《尚书·武成》：“底商之罪，告于皇天后土，所过名山大川。”,大海里的珍珠被人遗漏。比喻埋没人才或被埋没的人才。,5,hé zhōng gòng jì,"""Shangshu, Wucheng"": ""The crime of the bottom business is reported to the emperor and the land, and the famous mountains and rivers he has passed.""",The pearl in the sea is missed. A metaphor for buried talents or buried talents.,正如世人看到的那样，因为疫情，武汉、湖北乃至全中国都成为了舆论关注的焦点所在，世界卫生组织将其定为“国际关注的突发公共卫生事件”，但身处疫情一线的人们不仅没有退缩，而是在党中央的集中统一领导下，愈加万众一心、和衷共济，展现出克服一切困难去争取胜利的必胜信念和豪迈气度。
1133,口不应心,1,mainland China politics,《论语·季氏》：“远人不服而不能来也，邦分崩离析而不能守也。”,写人-德才-⒀才能-才学,1,kǒu bù yìng xīn,"""The Analects of Confucius Ji Shi"": ""People from afar are dissatisfied and cannot come, and the state is disintegrated and cannot be defended.""",Writing about people - virtue and talent - (13) talent - talent,思政课教师肩负着新时代铸魂育人的崇高使命，是广大教师队伍中传播知识、传播思想、传播真理、塑造灵魂、塑造生命、塑造新人的关键力量，理应在师德师风方面成为教师队伍中的表率。如果思政课教师口不应心、言不由衷、知行分裂、言行不一，就不可能赢得学生、赢得未来。
1134,言为心声,2,culture,汉·赵岐《三辅决录》：“上比崔杜不足，下比罗赵有余。”晋·张华《鹪鹩赋》：“将以上方不足而下比有余”。,指表面玄妙的事理,2,yán wéi xīn shēng,"Han Zhaoqi's ""Three Fu Juelu"": ""The superior is less than Cui Du, and the inferior is more than Luo Zhao."" Jin Zhanghua's ""Wren Fu"": ""The superior is insufficient and the inferior is more than.""",Refers to apparently subtle matters,做好新时代的考古和文物保护工作，一定能为强国征程贡献更为深厚的文化自信和蓬勃动力。 新华社北京5月25日电 “我属牛，永远是一头核动力领域的拓荒牛。”“活着能热爱祖国、忠于祖国、为祖国的富强而献身，足矣！”言为心声，彭士禄院士用毕生心血诠释了新时代科学家精神的核心内涵。
1135,诚惶诚恐,1,None,北齐·颜之推《颜氏家训·慕贤》：“潜移暗化，自然似之。”,指生命比朝露消失得还快。形容死得过早,1,chéng huáng chéng kǒng,"Northern Qi Yan Zhitui's ""Yan's Family Instructions Muxian"": ""Sneak and darken, natural like.""",It means that life disappears faster than the morning dew. Describe the premature death,None
1136,有条不紊,19,sports,《书·泰誓下》：“树德务滋，除恶务本。”,骋：放任；嗜：嗜好。指随自己的嗜欲而奔走求取,3,yǒu tiáo bù wěn,"""Book, Tai Oath"": ""Building virtues is for nourishment, and eliminating evil is the foundation.""",骋：Let loose; 嗜：嗜好。 It means to run around and seek after one's own hobbies,中华民族伟大复兴曙光在前、前途光明。更加紧密地团结在以习近平同志为核心的党中央周围，永葆初心、牢记使命，持之以恒发扬党的光荣传统和优良作风，把苦难辉煌的过去、日新月异的现在、光明宏大的未来贯通起来，在乱云飞渡中把牢正确方向，在风险挑战面前砥砺胆识，激发为实现中华民族伟大复兴而奋斗的信心和动力，风雨无阻，坚毅前行，我们就一定能在全面建设社会主义现代化国家新征程上创造新的时代辉煌、铸就新的历史伟业。 越是面临风险挑战，越能检验制度的效能。安徽歙县，暴雨突袭阻断道路，当地公安、消防、民兵应急队伍连夜架设浮桥，保障2000多名考生完成高考；湖北黄梅，河堤决口发生险情，上千名空降兵紧急奔赴现场，奋战一昼夜守住大堤。当前，我国进入防汛关键时期，各地各方加强统筹协调，全力抢险救援。从监测预警、堤库排查，到应急处置、受灾群众安置，部署有条不紊，行动迅速高效，再次彰显了中国力量背后的制度优势。
