,Chengyu,Explanation
1086,孤家寡人,Writing about people - virtues and talents - (17) ferocity - ferocity
1087,万家灯火,It means to thank a powerful person for his recommendation and promotion.
1088,鸿篇巨制,The kind of people who are so good at fiddling with right and wrong should be thrown out to feed the wolves and tigers. Describe the people's indignation against the bad guys.
1089,南腔北调,Writing about people - virtue and talent - (13) talent - talent
1090,行云流水,"metaphorically speaking, look at people's eyes"
1091,休养生息,Writing events - state of affairs - (6) association - connection
1092,一举成名,Wu Yan: the legendary ancient ugly girl. A fine depiction of the ugly woman Wu Yan. The metaphor of comparing beauty with ugliness quotes an inappropriate analogy.
1093,得寸进尺,Writing about things-oppositions-(4) right and wrong and others-errors and others
1094,家破人亡,"Teach a monkey to climb a tree. Metaphorically, to instruct bad people to do bad things."
1095,说三道四,"The Yellow River is as thin as a sash, and Mount Tai is as small as a whetstone. The metaphor is that the feudal title coexists with the country and is passed on endlessly"
1096,三心二意,Writing about people - speech -_- (3) discussion
1097,言而无信,"Consider: estimate, speculate. Describe the complexity of the situation, making it impossible to speculate"
1098,微乎其微,Writing about people - mind -_- (8) difficult (helpless)
1099,重见天日,The ability to see the fish in deep water. The metaphor is that one is too shrewd.
1100,虚度年华,"Dismissed: Discarded. Originally, it refers to the exclusion of all sons and daughters and the exclusive implementation of Confucianism. It also refers to the fact that only one form is needed and no other form is wanted."
1101,不见天日,Light: easily; Ranno: promise. Not to promise anything casually. Describe a person who keeps his word
1102,一无所获,It is used as a metaphor for a work that is superior to that of a famous writer of the same generation.
1103,一无所有,Writing - Situation - (7) Culture and Art - Masterpiece
1104,大开眼界,"It refers to the goodness of the work, which is not comparable to the people of that time."
1105,济济一堂,"Enough: within the range of the bow and arrow, a metaphor for a cage or trap. The whole of the net is in place."
1106,一哄而散,Not seeking fame and status.
1107,一落千丈,"Seeing a pig lying on the road. Metaphorically speaking, it is dirty and filthy."
1108,面目全非,Describes a famous article. It also refers to a famous writer.
1109,乐在其中,It refers to a person who has a certain skill and can't help but want to show it when an opportunity arises.
1110,金石为开,It is a metaphor for a person with high talent being given the opportunity to play.
1111,高屋建瓴,Writing about people - experiences - (3) situations - good situations
1112,洛阳纸贵,"In the old days, it was a metaphor for the retreat of talent."
1113,汗马功劳,From: obey; obey: submit. Like the wind fell down then quickly obeyed. A metaphor for the weak yielding to the strong
1114,固若金汤,"绸缪：Tightly twist. Tie the firewood tightly into bundles. The metaphor is that a man marries a woman and a man marries a man, each in his own way"
1115,有恃无恐,"Lin: encounter, encounter; Fear: or fear. Caution and fear in all matters."
1116,欲盖弥彰,Writing about people - Virtue and talent - (5) Modesty and prudence
1117,风吹草动,"Change: resourcefulness, power change. The wisdom and power of change are magical and unpredictable."
1118,暗室不欺,"Non-intended: unexpected,, dry: offended. Unexpected unwarranted offense."
1119,求贤若渴,"Stand with folded feet, not daring to take a step. Describe fear"
1120,克勤克俭,Writing about people - feelings - (7) fear - fear
1121,蜻蜓点水,Writing about events - states of affairs - (6) association - presence
1122,磨杵成针,Extinct train: Tear off the lapel. Describing the determination to leave
1123,路不拾遗,Inaccessible.
1124,黄粱一梦,It is a metaphor for not taking responsibility or both.
1125,拔苗助长,"Cook: To burn a fire to make rice. Counting the grains of rice for cooking. Metaphorically speaking, counting small profits. It also describes the difficulty of living."
1126,重蹈覆辙,"Writing things-opposites-(2) strong, weak-strong and big"
1127,闻鸡起舞,His Holiness showed his virtue by being humble.
1128,巾帼英雄,Meisou: Longevity. A tribute to wish someone a high life.
1129,天怒人怨,Writing about people - mind -_- (15) sedation
1130,人情世故,The form is like earth and wood. The metaphor is unadorned.
1131,锲而不舍,Writing things-opposites-(9) true-false-true
1132,和衷共济,The pearl in the sea is missed. A metaphor for buried talents or buried talents.
1133,口不应心,Writing about people - virtue and talent - (13) talent - talent
1134,言为心声,Refers to apparently subtle matters
1135,诚惶诚恐,It means that life disappears faster than the morning dew. Describe the premature death
1136,有条不紊,骋：Let loose; 嗜：嗜好。 It means to run around and seek after one's own hobbies
1137,地广人稀,Writing about people - Virtue and talent - (1) noble - noble
1138,痛心疾首,The metaphor is that life is difficult and has been cut off for a long time.
1139,无忧无虑,"Cold as frost. The metaphor is to treat people with no feelings, as cold as frost. It also refers to a stern and unapproachable attitude."
1140,风雨如晦,Writing about people-acting-(2) style-serious
1141,旗开得胜,"It means that when a horse is running, a leap between the front and back hooves should pass three searches. Describe the horse running very fast"
1142,后发制人,栗栗：The way of shivering. Described as very afraid.
1143,任劳任怨,It refers to the hesitation in dealing with the world and the lack of decision.
1144,迥然不同,Writing - state of affairs - (1) act - misconduct
1145,饮水思源,Writing about events - state of affairs - (2) changes - development
1146,气喘吁吁,Described as very frightened and anxious.
1147,何乐不为,The skill of the technique is all the more apparent because of its difficulty.
1148,愁肠百结,Refers to the erudition of young people.
1149,天寒地冻,A metaphor for a person with outstanding talent.
1150,披坚执锐,Writing about people - virtues and talents - (1) noble - outstanding
1151,披沙拣金,"It refers to the strict control of private thoughts, like defending a city against enemies."
1152,腰缠万贯,"Hiraishang: plainly, normally. To be happy as if we had been friends for a long time"
1153,死而复生,Shy: bountiful; Yi: gift. Not a generous gift
1154,惹是生非,Write object-object-_-object
1155,待价而沽,Writing objects - Geography - _- Resorts
1156,拭目以待,There was no unexpected praise.
1157,摇唇鼓舌,Writing about people - virtues and talents - (1) noble - honorable
1158,悲欢离合,Writing about people - virtues and talents - (1) noble - outstanding
1159,姹紫嫣红,Writing about people - address - (2) gender age - woman
1160,雄心勃勃,"Degree: second, back. Liu Lang, who had been there last time, has arrived again. Generally refers to people who have gone and come again."
1161,博学多才,Writing about people - Talking - (1) Talking - Other
1162,慷慨激昂,"Pope and willow: both Pope and willow are expected to wither first in autumn, which extends to early decline. In the old days, it was a polite way of saying that one's physique was weak."
1163,丧尽天良,Writing things-opposites-(1) how much-more
1164,赤胆忠心,A metaphor for a place of affluence and splendor
1165,隔靴搔痒,Lingguang: The name of the temple in the Han Dynasty. It is a metaphor for the only surviving person or thing with prestige.
1166,当务之急,Writing about events - states of affairs - (6) association - presence
1167,人迹罕至,metaphorically speaking
1168,绝无仅有,A metaphor for something precious.
1169,出乎预料,Writing objects-objects-_- metaphorical objects
1170,出乎意料,Biu Plum: Plums fall down when they are ripe. It is a metaphor for a woman who has reached the age of marriage
1171,毁于一旦,A metaphor for spare talent.
1172,妄自菲薄,Writing about people - virtue and talent - (13) talent - talent
1173,不得而知,Writing about people - Address - (3) Identity occupation - Literati
1174,莫衷一是,"Originally, it means to ask for help from another country. Later, it also refers to begging others for help."
1175,束手无策,It is a metaphor for the third party to gain from the competition between the two.
1176,一无所成,Handle: authority. Describe the long-lasting great power.
1177,化险为夷,Writing about people - Actions - (1) Actions - Eating and drinking
1178,绳之以法,"Originally, it refers to the white face of He Yan, as if he had put on powder. Later, it refers to beautiful men in general."
1179,祸起萧墙,Writing about people-looks-(1) appearance-beautiful
1180,浩如烟海,refers to the tedious study of examination and revision
1181,相敬如宾,Writing - Situation - (6) Teaching - Seminar
1182,如履薄冰,"Looking down on Kyushu, it is as small as a smoke dot."
1183,披星戴月,It refers to the desire of parents for their children.
1184,稍纵即逝,"To walk on frost knowing that the time of freezing is near. Metaphorically, to see the immediate signs and be alert to the future."
1185,点石成金,Writing objects - Time - _ - Passing
1186,翻来覆去,Refers to an orphan who has not reached adulthood.
1187,积习难改,It is a study that only recites the book for the purpose of talking or answering difficult questions. It means that the learning is not integrated and not systematic.
1188,流言蜚语,"Refers to old, fragmented historical records that have no reference value."
1189,如出一辙,It is a metaphor for the nostalgia for the homeland.
1190,力挽狂澜,It is a metaphor for nostalgic thoughts of the motherland.
1191,火上浇油,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
1192,光阴似箭,It refers to the marriage of children.
1193,三番五次,"Qingzhou: the name of an ancient state, in present-day eastern Shandong; engaged: the name of an ancient official. A synonym for good wine."
1194,因噎废食,It refers to the grief of a woman who has lost her favor.
1195,鳏寡孤独,It is a metaphor for slandering someone's bad words in secret.
1196,言之有理,Refers to writings.
1197,目不暇接,Describe the very small merit.
1198,啧有烦言,"Writing things - state of affairs - (8) fame - bad, small"
1199,言犹在耳,A tribute to the talent of human grace.
1200,风吹浪打,"Describe the long period of time. In the old days, it was used to wish the country a long period of luck."
1201,待人接物,"It means only knowing some furtive opinions that come out of the ears and mouths, but no real learning."
1202,沧海桑田,It is a metaphor for a person who is narrowly informed.
1203,炙手可热,"The original meaning is to grieve because the car has no way out, but later it also refers to the desperate grief in a difficult situation."
1204,青出于蓝,出山：Comparable to going out of the service. It means that a person who has become an official is not as innocent as when he was not an official
1205,空谷足音,A close friend who does his best to help each other
1206,是非曲直,The fugitive sinner.
1207,图穷匕见,A metaphor for nagging and talkative.
1208,今非昔比,Public affairs: official duties. It refers to the old official duties in the Qing Dynasty
1209,今不如昔,Looking for something in a room with no light. The metaphor is that it is difficult to see the results of reading.
1210,民不聊生,充闾：光大门庭；庆：喜庆。 The joyful matter of the glorious gatehouse
1211,生灵涂炭,It is a metaphor for the feeling of longing for a friend after a long absence.
1212,刀山剑树,The humble words of a provider parent.
1213,总而言之,Peaceful and generous people
1214,赤子之心,It is used to refer to extremely beautiful writing.
1215,人心向背,"Writing about things, situations, (7) culture and art, writing attitude skills, etc."
1216,文恬武嬉,"Although something is slight, it is very precious when it is used."
1217,万马齐喑,Writing about people - mindfulness - (2) thoughts - thinking
1218,万马奔腾,This is a cheeky way of saying fate.
1219,暴风骤雨,"Chang'an: The capital of the Han and Tang dynasties, northwest of present-day Xi'an in Shaanxi Province. Old metaphor for a place of fame and fortune"
1220,步履蹒跚,Refers to the one who is in the thoughts.
1221,因材施教,The term refers to the fetish for landscape.
1222,不约而同,Writing about people - Virtue and talent - (14) despicable - trapping
1223,以假乱真,"Pot: refers to the gourd class, which can be tied without sinking. A metaphor for precious and rare"
1224,一意孤行,"Jiaojiao: the appearance of outstanding; Qun: different. The description is superior and outstanding, different from the ordinary."
1225,耿耿于怀,Writing about people - virtues and talents - (1) noble - outstanding
1226,吃苦耐劳,"The metaphor is that each has its own way of saying things, and things cannot be done successfully."
1227,倒海翻江,Writing things-opposites-(6) Difficult-easy-hard
1228,津津乐道,It is a metaphor for a person who is extremely exaggerating his or her preference.
1229,趁虚而入,Writing things-Interaction-_-(3) Attitude
1230,雨过天青,"Readers, people who can read and do scholarly work"
1231,我行我素,Writing about people - Address - (3) Identity occupation - Literati
1232,雅俗共赏,Calling others literate sons
1233,深入人心,"In the olden days, it was used to mourn someone who was admired by everyone."
1234,汗流浃背,"When the drums are beaten with the drumsticks, the drums ring out. The metaphor is that they respond to each other and work together very closely."
1235,无所不为,"Metaphorically, living in a good environment also makes you a good person"
1236,兴妖作怪,"Writing things-opposites-(3) good and beautiful, ugly and evil-good and beautiful"
1237,无所顾忌,"The Yellow River is as thin as a sash, and Mount Tai is as small as a whetstone. Metaphorical time, any turmoil will never change heart."
1238,避实就虚,"Credit is as cheap as a small pig or a fish. Metaphorically, credit is very good."
1239,哀鸿遍野,Writing about people - Virtue and talent - (4) Sincerity - Sincerity
1240,临阵磨枪,The metaphor is that people have a lot of heart and are very powerful.
1241,春华秋实,means densely populated
1242,大放厥词,"Pearl and guilloche: both are jewels, the round ones are called pearls and the not round ones are called guilloche. Describe speaking with literary talent."
1243,谨言慎行,Writing about people - Address - (3) Identity occupation - Officials
1244,官样文章,Metaphorically very difficult
1245,颠扑不破,Drape: hang down. Snot: tears. Shed tears because of sorrow and grief.
1246,巧舌如簧,"Callus, callus: calluses on the palms of the hands and soles of the feet. The palms of the hands and the soles of the feet are full of calluses. Describe the frequent hard work."
1247,唉声叹气,Writing things-opposites-(8) blessing-blessing
1248,艰苦卓绝,"Originally, it describes birds singing in harmony with each other. Later, it describes that there were many women present and the sound was noisy."
1249,跃然纸上,It refers to the various scenes in heaven and earth.
1250,逃之夭夭,Drought demon: an ancient legendary monster that can favor drought; abuse: disaster. Refers to drought.
1251,信口开河,The music was so beautiful that even the horses lifted their heads to listen and did not eat the feed.
1252,徒劳无益,It is a metaphor for a major loss caused by the negligence of supervisors.
1253,金戈铁马,Despicable: vulgar and greedy; sprout: occur. Vile and vulgar thoughts have sprung up again
1254,以邻为壑,Writing about people - virtue and talent - (15) mediocrity - vulgarity
1255,感激涕零,Thin cold: a slight chill. Zhongren: hurt people. It means that even a slight cold can hurt a person's body. It also refers to a person who cannot withstand the slightest blow when aging or in distress.
1256,震天动地,"Like pear blossoms stained with rain. Originally, it describes the posture of Yang Guifei when she cries. Later, it was used to describe the beauty of a woman."
1257,声名狼藉,Writing about people-looks-(1) appearance-beautiful
1258,不了了之,Writing events - state of affairs - (6) correlation - cause and effect
1259,以儆效尤,Aroma full of body. It is a metaphor for leisurely and elegant demeanor and excellent style.
1260,克己奉公,To look into the distance; to open one's mind: to open one's mind and think in the distance. To look in all directions and open one's mind.
1261,天南地北,One person does two things.
1262,兴师问罪,Writing about people - Experiences - (1) Experiences - Busy
1263,大公无私,It is a metaphor for a person's extraordinary intelligence.
1264,时不我待,Writing about people - virtues and talents - (13) talents - intelligence
1265,见所未见,Writing about people - feelings -_- (6) sadness
1266,见义勇为,Refers to people who are shameless and behave like dogs and pigs
1267,手足无措,"The word ""detachment"" is used to describe the appearance of a person's body and bones. Describe the sick person's thin body and bones, weakness and emaciation"
1268,言之凿凿,The world knows everything. Describe the profound knowledge.
1269,知无不言,Pinning and fusing weapons to make farming implements.
1270,乐善好施,Describe the outstanding virtues and talents
1271,肆无忌惮,"Writing things-opposites-(2) strong, weak-weak and small"
1272,汹涌澎湃,Refers to a wealthy and unrestrained life
1273,摩拳擦掌,Writing about people - speech - (1) talk - good speech
1274,鳞次栉比,AN: How. How will the plan be developed?
1275,严阵以待,"metaphorically speaking, a visit is not met"
1276,夙兴夜寐,Golden Wings: The name of the bird mentioned in the Buddhist scriptures; Breaking: To separate or break something by hand. It is a metaphor for the majestic strength of the writing.
1277,四面八方,"The antelope sleeps at night, hanging its horns on the tree, without touching the ground, to avoid trouble. In the old days, it was often used as a metaphor for the transcendent mood of the poem."
1278,如雷贯耳,Lan Gui: a beautiful name for the children and grandchildren of others; Fang: a metaphor for virtue and beautiful sound. Old refers to children and grandchildren at the same time illustrious and developed.
1279,画地为牢,It refers to the size of the wine and is not related to the height of the body.
1280,悬崖勒马,Writing about people - experience - (1) experience - hardship
1281,另眼相看,The main idea is out of necessity.
1282,视同儿戏,Hairpin: inserted and worn. Describing beautiful calligraphy. It also refers to the freshness and beauty of poetry.
1283,沁人心脾,Writing matter-Situation-(7) Culture and art-Coloring and painting art
1284,灯红酒绿,Goufu: A famous general of the Western Han Dynasty. It refers to Goufu's cursing after drinking to vent his anger. It describes a person who is straightforward and outspoken.
1285,暴殄天物,It is a metaphor for the action of boasting of great wealth and competing for power and victory.
1286,从谏如流,It describes a bad encounter with a talented person.
1287,博览群书,A person who is used to riding a horse often falls off the horse. A person who is good at a particular skill often fails due to carelessness.
1288,正本清源,Writing about people - Experiences - (3) Situations - Adversity
1289,费尽心机,The country is in a desperate situation. Describing the country as being sick and in a desperate situation
1290,将心比心,The grains are scattered all over the ground. Describe the abundance of grain
1291,谨小慎微,It is a metaphor for wasting effort.
1292,兴利除弊,The metaphor is that the hobbies are different.
1293,穷奢极欲,"Originally, it refers to King Wen of Zhou's dream of flying bears and getting a sign from Taigongwang. Later, it is a metaphor for the sign of a saintly lord getting a wise minister."
1294,翻云覆雨,"The metaphor is that one is worse than the other, getting worse and worse."
1295,无价之宝,Xi Wei: the sky is slightly bright. The sky is slightly bright in the morning.
1296,力排众议,It refers to inattentiveness in studying. Now it means that something will be gained.
1297,虚与委蛇,"Clarity: clear, bright and pure. Practice: white cooked silk. The clear river water is like a white train. Mostly refers to a bird's eye view of the river."
1298,瞒天过海,"The eight tones: an ancient collective term for musical instruments; iteration: interaction, rotation. Eight types of musical instruments are played in turn. It means that the instruments are complete and the performance scene is grand."
1299,喜怒哀乐,"Legend has it that before Lao Tzu crossed the Hangu Pass, Guan Yin Xi saw a purple aura coming from the east and knew that a sage would cross the pass. Sure enough, Laozi came on a green bull. In the old days, it was a metaphor for an auspicious sign."
1300,心旷神怡,Writing things-opposites-(8) blessing-blessing
1301,砥柱中流,Refers to the courage to admonish
1302,经天纬地,A metaphor for brotherly love
1303,吹吹打打,Writing about people - Virtue and talent - (14) despicable - degenerate
1304,孜孜不倦,"Meat-eater: a person who eats meat, by extension, a person in a position of power; despicable: despicable. In olden times, it refers to the short-sightedness of people who hold high positions and are well paid."
1305,绳锯木断,Writing about people - Virtue and talent - (26) Stupidity - shallow opinion
1306,层峦叠嶂,"Daguan: means to listen to the nature of everything or to be open to it; fate: destiny; Zhijin: means to know the fate of God. It means to be open to things that are not as desired, to let fate take its course, without any worries"
1307,登堂入室,Writing about things - situations - (1) the world - fighting
1308,若隐若现,Don't add to others what you don't want to do yourself.
1309,生离死别,Halberd: Ancient weapon. The broken halberd sank in the mud and sand. Describe the failure is very heavy
1310,情有可原,"Writing about events - state of affairs - (8) fame - good, great"
1311,亲痛仇快,Describe the appearance of being proud of yourself because you think you are good.
1312,螳臂当车,Writing about people - feelings - (2) delighted - happy
1313,溢于言表,Not cold and shivering. Describe very fearful.
1314,出其不意,Writing about people - virtues and talents - (2) ambition - having ambition
1315,衣衫褴褛,Writing about people - Virtue and talent - (17) Fierce and vicious
1316,颐指气使,The cold ashes burned anew. The original metaphor is about a person who has lost his power regaining it. Now it is often said that the evil forces that have disappeared are active again.
1317,众说纷纭,Writing about events - state of affairs - (2) change - for the better
1318,披肝沥胆,Writing about people - virtue and talent - (19) arrogance and arrogance
1319,依然故我,Writing about people - Acting - (3) Attitude - Respectful
1320,毛骨悚然,It is a metaphor for the determination to do everything to the end.
1321,理直气壮,The later surpasses the earlier. There is to praise the up-and-comers over the predecessors.
1322,心无二用,Writing about events - state of affairs - (2) changes - development
1323,海晏河清,Describe the morality and behavior are very high.
1324,故态复萌,Not a donkey nor a horse. The metaphor is incestuous and unlike anything.
1325,五花八门,"Writing about events - state of affairs - (3) results - obvious, good"
1326,千山万水,"Division: army; name: name, by extension, reason. There must be a justifiable reason for sending troops. Later metaphorically, there is a good reason for doing something."
1327,短小精悍,It is a metaphor for a serious scourge hidden within. It also refers generally to the greatest hidden danger.
1328,无所用心,Writing about people - Experiences - (1) Experiences - Valium
1329,当仁不让,Doing one thing gets you both ways.
1330,非亲非故,"How the mind thinks, how the hand can do. The metaphor is that the skill is pure or doing things very smoothly."
1331,名存实亡,Writing about people - virtues and talents - (13) talents - proficiency
1332,山高水长,Writing about people - virtues and talents - (13) talents - capable
1333,百战不殆,"Originally, it refers to frivolously discussing the appearance of women. Now it also refers to arbitrary criticism."
1334,天罗地网,Describes a person who is strong on the outside but empty on the inside.
1335,叠床架屋,Twilight: evening; Tou: road. It is late in the day and the road has come to an end. The situation is very difficult and has come to an end. It also describes the extreme poverty.
1336,国计民生,Reason - Success or Failure
1337,荣华富贵,"When the lips are gone, the teeth will feel cold. Metaphorically, the benefits and harms are closely related."
1338,咄咄怪事,Writing about people - virtue and talent - (15) mediocrity - vulgarity
1339,坚如磐石,There is nothing in the sleeves except the breeze. It is a metaphor for being a clean official. It is also a metaphor for being poor and having nothing.
1340,魂牵梦萦,Writing about people - Virtue and talent - (6) Integrity - Integrity
1341,相提并论,Mao Sui self-recommendation. The metaphor is to recommend oneself for a certain job.
1342,指名道姓,Writing things-Interaction-_-(3) Attitude
1343,男耕女织,It is as easy as turning your hand over. The metaphor is that things are very easy to do.
1344,深思熟虑,The same kind of things get together. Refers to bad people who stink of each other and collude together.
1345,无出其右,Writing-Interaction-_-(4) Activities
1346,大书特书,"Mingcha: to see clearly; Qiuhao: the new growth of fine hairs on birds and animals in autumn. The original description describes a person's keen eyesight, any small things can be seen very clearly. Later, it is often used to describe people who can see things clearly."
1347,积土成山,Writing about people - virtues and talents - (13) talents - resourcefulness
1348,集腋成裘,Writing about events - state of affairs - (2) change - for the worse
1349,聚沙成塔,To defeat the enemy by a surprise attack. The metaphor is to achieve victory in a way that the opponent did not expect.
1350,自强不息,Writing about people - virtue and talent - (18) hypocrisy - hypocrisy
1351,国泰民安,Indicates an admission of fault and reparation to a person.
1352,敷衍了事,"Writing things - state of affairs - (2) change - disappear, eliminate"
1353,再接再厉,Writing about people - virtue and talent - (20) greed - selfishness
1354,评头论足,The calamities suffered by the people are getting deeper and deeper like water and hotter and hotter like fire. It is a metaphor for the extreme suffering of the people's life.
1355,息事宁人,The tune is so profound that few people can sing along with it. The old term refers to the difficulty of finding a knowledgeable musician. Now it means that the speech or work is not popular and few people can understand it.
1356,开宗明义,Writing matters - Situation - (7) Culture and art - Vocal dance
1357,通力合作,Writing about people-acting-(2) style-observance
1358,闭门造车,"Talking about fighting battles on paper. It is a metaphor for empty talk about theory, which cannot solve practical problems. It is also a metaphor that empty talk cannot become reality."
1359,郁郁葱葱,Writing about people - Virtue and talent - (14) despicable - collusion
1360,一概而论,The further you go down the list the more obvious it becomes. Indicates that the situation is getting worse.
1361,好逸恶劳,Writing about people - Virtue and talent - (25) collusion - division
1362,惊慌失措,"It is as if there is no one beside you. It describes an arrogant attitude, not taking others into consideration."
1363,踌躇满志,The fox fakes the power of the tiger. It is a metaphor for relying on the power of others to oppress people.
1364,焕然一新,"Originally, it refers to the words or rhetoric that are decorative and vague in content. Later, it refers to the false and appealing words used to deceive people."
1365,长治久安,Writing about people - experience - (1) experience - change
1366,钟鸣鼎食,"Bright Eyes: Open your eyes; Open your guts: Let go of your guts. Originally, it means to have the courage to do something. Later, it describes doing bad things openly and recklessly."
1367,锦衣玉食,Describe the cunning and insidiousness of two-faced people.
1368,淡泊明志,Writing about people - virtue and talent - (18) hypocrisy - deception
1369,如影随形,"Tube: refers to the brush. Originally, it means to hold two brushes in one hand and draw at the same time. Later, it refers to doing two aspects of a task at the same time or using two methods at the same time."
1370,风驰电掣,Writing about people - speech - (6) delusion - nonsense
1371,轻于鸿毛,To ridicule people who listen to words without understanding what the other person is saying. It is used to ridicule the person who speaks without looking at the person to whom he or she is speaking.
1372,欢欣鼓舞,Writing about people - speech - (1) talk - indecent
1373,你死我活,"Be willing to learn from those who are less learned or of lower status than you, without feeling embarrassed."
1374,任其自然,Writing about people - Virtue and talent - (5) Humility - Modesty
1375,事不关己,The boat rides on the wind to break the waves. The metaphor is to overcome difficulties and move forward bravely.
1376,情不自禁,Writing about people - virtues and talents - (2) ambition - having ambition
1377,各抒己见,Writing things-opposites-(6) Difficult-easy-hard
1378,前车之鉴,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
1379,长篇累牍,The metaphor is forced to rise up against. Now it is also used as a metaphor for being forced to take certain actions.
1380,网开一面,Being forced to do so had no choice.
1381,惩前毖后,Writing things-opposition-(1) more or less-less
1382,舍生取义,Refers to superiority.
1383,杀鸡取卵,Writing about people - virtues and talents - (17) ferocity - ferocity
1384,坚强不屈,"Originally, it means a person is safe and free from disease. Now it refers to the safety of things that have not been damaged."
1385,备而不用,Writing things-opposition-(7) safety and security-an
1386,失之交臂,"As long as you can get by, just get by. It is a description of having no ambition."
1387,欣喜若狂,Swallow the whole date without chewing it and without discerning the taste. The metaphor is to think about something without analyzing it.
1388,事在人为,Endure temporary humiliation in order to accomplish a difficult task.
1389,战无不胜,Writing - state of affairs - (1) behavior - appropriate
1390,所向披靡,"Gu: visit; thatched cottage: grass hut. Originally, it is the story of Liu Bei's visit and recruitment of Zhuge Liang at the end of Han Dynasty. It is a metaphor for a sincere and repeated invitation."
1391,大义凛然,Writing about people - Acting - (2) Style - Other
1392,雕虫小技,Writing-Interaction-_-(4) Activities
1393,必由之路,The original metaphor is to show one's head and feet. Now it refers to a person who has just left home or school to work. Lack of experience.
1394,碌碌无为,Writing about people - Virtue and talent - (7) Diligence and perseverance
1395,兼容并包,Go into battle bare-chested. The metaphor is to go on the field in person and carry out the activity without any disguise.
1396,淋漓尽致,The term refers to the lack of awareness of current important events and trends of the times. Now it also refers to treating people with disinterest.
1397,血气方刚,Writing about people - mind -_- (8) difficult (helpless)
1398,轻重缓急,The words that the old scholar often says. It is a metaphor for the words that people are used to hearing and have no new meaning.
1399,心血来潮,I don't know what is being said. It means that the content of the speech is confusing and incomprehensible.
1400,神采飞扬,Writing about people-words-_-(7) Others
1401,络绎不绝,Writing about people - Virtue and talent - (14) despicable - trapping
1402,平心而论,It refers to someone who has improved and can no longer be seen in the same light.
1403,行色匆匆,"Hold on to the defective and old things do not put. Describe conservative thinking, not seeking improvement."
1404,不可终日,Writing about people-acting-(2) style-observance
1405,铭心刻骨,Writing about people - virtue and talent - (17) viciousness - sin
1406,言外之意,Morally there is only the courage to go forward and not to hesitate to look back.
1407,视若无睹,"Momentum: Momentum, power. The situation is like splitting bamboo, after the first few sections are broken, the following sections will be separated according to the momentum of the knife. It is a metaphor for victory in every section, without any obstacle."
1408,诗情画意,"Writing about events - the state of affairs - (7) sound, atmosphere - sound"
1409,急风暴雨,Writing about things - situations - (1) the world - fighting
1410,人山人海,A major charge imposed by the old ruling class on those who disrupted the feudal order.
1411,生杀予夺,Writing things-opposition-(10) success or failure-failure
1412,留有余地,Speak rudely and impolitely.
1413,助纣为虐,Writing about people - virtues and talents - (19) arrogance - arrogance
1414,树大招风,Shan: describe walking slowly and calmly. Slowly coming late.
1415,高官厚禄,Writing about people-movement-(2) walking-fast and slow
1416,炉火纯青,Writing about people - virtues and talents - (8) bravery - courage
1417,旁门左道,Writing - Situation - (5) Military - Combat
1418,扶危济困,Adding feet to a snake when drawing a snake. The metaphor is to do something superfluous that is not helpful but rather inappropriate.
1419,雪中送炭,Writing - state of affairs - (1) act - misconduct
1420,荡气回肠,Writing about the event - the state of affairs - (3) the result - falls short
1421,以德报怨,"The words are endless, like a waterfall that keeps flowing and pouring. It describes a person who is able to speak well and talk endlessly."
1422,真心实意,It is a metaphor for making random statements without regard to facts.
1423,应接不暇,Writing about people - Acting - (2) Style - One sided
1424,未雨绸缪,Writing about people - virtue and talent - (18) hypocrisy - false appearance
1425,耳熟能详,Release: put down; heavy burden: heavy burden. It is as easy as putting down a heavy burden. Describe the relaxation and happiness after the tension has passed.
1426,耳聪目明,Writing about people - feelings - (2) delighted - happy
1427,身经百战,"Extremely perfect, extremely beautiful. Refers to perfection to the point of not having a single flaw."
1428,体无完肤,"Writing about events - state of affairs - (4) degree - prominent, important, solid"
1429,坐而论道,Writing about people - speech - (6) delusion - nonsense
1430,振振有词,"During the Spring and Autumn Period, Qin and Jin married each other for more than one generation. The general term refers to the marriage of two families."
1431,促膝谈心,Writing about people - Experiences - (1) Experiences - Marriage
1432,业精于勤,It is a metaphor for hiding or tolerating bad things.
1433,厚颜无耻,Writing - state of affairs - (1) act - misconduct
1434,五谷丰登,"Metaphorically, the ranking is listed in front."
1435,恨之入骨,Writing about people - Virtue and talent - (5) Modesty - Other
1436,深恶痛绝,Writing about people - Acting - (3) Attitude - Obedience
1437,来之不易,Writing about people - experiences - (2) life and death - between life and death
1438,心术不正,Indicates mutual deception.
1439,举手之劳,Writing about people - Addressing -_- Other
1440,千锤百炼,Writing matter-situation-_-(2) Administration
1441,将信将疑,It means taking the meaning of one paragraph or one sentence in isolation without regard to the content of the whole article or conversation. It means that the quotation does not match the original meaning.
1442,白发苍苍,"Sleeping with a high pillow, free from worries. It is a metaphor for paralysis of thought and loss of vigilance."
1443,山明水秀,Writing about people - mind -_-(28)Others
1444,丰功伟绩,Writing - state of affairs - (1) act - misconduct
1445,封妻荫子,The name falls behind Sungshan at the end of the list. It refers to the examination or selection without acceptance.
1446,步步高升,Writing - Situation - (6) Teaching - Learning
1447,风调雨顺,Writing about people - Virtue and talent - (26) Stupidity - Ignorance
