Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2016-17 
CALPADS Fall 1 
Certification Status"
2016-2017,33,67231,127761,Riverside,Romoland Elementary,Boulder Ridge Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,602,317,0.527,461,0.766,589,314,0.533,455,0.772,Y
2016-2017,33,67231,6032791,Riverside,Romoland Elementary,Romoland Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,467,358,0.767,436,0.934,459,354,0.771,430,0.937,Y
2016-2017,33,67231,6109581,Riverside,Romoland Elementary,Harvest Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,665,547,0.823,622,0.935,652,536,0.822,610,0.936,Y
2016-2017,33,67249,1,Riverside,San Jacinto Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38,13,0.342,16,0.421,36,13,0.361,16,0.444,Y
2016-2017,33,67249,102715,Riverside,San Jacinto Unified,Estudillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,685,455,0.664,539,0.787,685,455,0.664,539,0.787,Y
2016-2017,33,67249,102723,Riverside,San Jacinto Unified,"Clayton A. Record, Jr., Elementary",Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,573,354,0.618,440,0.768,543,337,0.621,418,0.77,Y
2016-2017,33,67249,121319,Riverside,San Jacinto Unified,Megan Cope Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,906,502,0.554,613,0.677,905,501,0.554,612,0.676,Y
2016-2017,33,67249,123844,Riverside,San Jacinto Unified,San Jacinto Leadership Academy - Magnet,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,224,111,0.496,133,0.594,224,111,0.496,133,0.594,Y
2016-2017,33,67249,3331006,Riverside,San Jacinto Unified,Mountain Heights Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,1,12,162,97,0.599,100,0.617,149,87,0.584,90,0.604,Y
2016-2017,33,67249,3337649,Riverside,San Jacinto Unified,Mountain View High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,231,167,0.723,184,0.797,204,148,0.725,161,0.789,Y
2016-2017,33,67249,3337656,Riverside,San Jacinto Unified,San Jacinto High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2509,1626,0.648,1949,0.777,2395,1545,0.645,1856,0.775,Y
2016-2017,33,67249,6032809,Riverside,San Jacinto Unified,Hyatt Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,575,525,0.913,556,0.967,539,497,0.922,524,0.972,Y
2016-2017,33,67249,6032817,Riverside,San Jacinto Unified,San Jacinto Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,551,484,0.878,522,0.947,551,484,0.878,522,0.947,Y
2016-2017,33,67249,6059166,Riverside,San Jacinto Unified,Monte Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,906,656,0.724,764,0.843,906,656,0.724,764,0.843,Y
2016-2017,33,67249,6106884,Riverside,San Jacinto Unified,De Anza Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,646,460,0.712,553,0.856,643,459,0.714,551,0.857,Y
2016-2017,33,67249,6109490,Riverside,San Jacinto Unified,Park Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,762,540,0.709,620,0.814,760,538,0.708,618,0.813,Y
2016-2017,33,67249,6114748,Riverside,San Jacinto Unified,San Jacinto Valley Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,129,Directly funded,Y,K,12,1369,535,0.391,777,0.568,1359,530,0.39,771,0.567,Y
2016-2017,33,67249,6115125,Riverside,San Jacinto Unified,North Mountain Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1083,749,0.692,884,0.816,1083,749,0.692,884,0.816,Y
2016-2017,33,73676,100248,Riverside,Coachella Valley Unified,Las Palmitas Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,678,625,0.922,661,0.975,669,617,0.922,653,0.976,Y
2016-2017,33,73676,100255,Riverside,Coachella Valley Unified,Desert Mirage High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,1963,1809,0.922,1924,0.98,1942,1790,0.922,1903,0.98,Y
2016-2017,33,73676,100263,Riverside,Coachella Valley Unified,Toro Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,1104,1017,0.921,1079,0.977,1104,1017,0.921,1079,0.977,Y
2016-2017,33,73676,112649,Riverside,Coachella Valley Unified,Coral Mountain Academy,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,966,733,0.759,853,0.883,951,726,0.763,845,0.889,Y
2016-2017,33,73676,113753,Riverside,Coachella Valley Unified,Bobby Duke Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,697,644,0.924,684,0.981,697,644,0.924,684,0.981,Y
2016-2017,33,73676,121673,Riverside,Coachella Valley Unified,NOVA Academy - Coachella,Unified School District,High Schools (Public),Traditional,N/A,Yes,1188,Directly funded,Y,9,12,218,160,0.734,199,0.913,215,157,0.73,196,0.912,Y
2016-2017,33,73676,3330032,Riverside,Coachella Valley Unified,La Familia Continuation High,Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,9,12,128,114,0.891,122,0.953,121,107,0.884,115,0.95,Y
2016-2017,33,73676,3330354,Riverside,Coachella Valley Unified,West Shores High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,12,465,405,0.871,447,0.961,458,399,0.871,440,0.961,Y
2016-2017,33,73676,3330990,Riverside,Coachella Valley Unified,Coachella Valley High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,2655,1961,0.739,2174,0.819,2593,1919,0.74,2129,0.821,Y
2016-2017,33,73676,6031694,Riverside,Coachella Valley Unified,Valle del Sol Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,862,786,0.912,830,0.963,850,774,0.911,818,0.962,Y
2016-2017,33,73676,6031702,Riverside,Coachella Valley Unified,Palm View Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,533,487,0.914,521,0.977,524,479,0.914,512,0.977,Y
2016-2017,33,73676,6031710,Riverside,Coachella Valley Unified,Peter Pendleton Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,583,522,0.895,551,0.945,573,514,0.897,541,0.944,Y
2016-2017,33,73676,6031728,Riverside,Coachella Valley Unified,Valley View Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,721,637,0.883,688,0.954,708,625,0.883,675,0.953,Y
2016-2017,33,73676,6032254,Riverside,Coachella Valley Unified,Mecca Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,804,747,0.929,778,0.968,797,740,0.928,771,0.967,Y
2016-2017,33,73676,6032361,Riverside,Coachella Valley Unified,Oasis Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,699,673,0.963,692,0.99,688,663,0.964,681,0.99,Y
2016-2017,33,73676,6032379,Riverside,Coachella Valley Unified,Sea View Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,532,476,0.895,515,0.968,522,466,0.893,505,0.967,Y
2016-2017,33,73676,6032833,Riverside,Coachella Valley Unified,John Kelley Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,579,510,0.881,545,0.941,571,503,0.881,538,0.942,Y
2016-2017,33,73676,6032841,Riverside,Coachella Valley Unified,Westside Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,539,452,0.839,505,0.937,528,444,0.841,495,0.938,Y
2016-2017,33,73676,6108906,Riverside,Coachella Valley Unified,Cesar Chavez Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,950,799,0.841,878,0.924,933,785,0.841,862,0.924,Y
2016-2017,33,73676,6112874,Riverside,Coachella Valley Unified,Cahuilla Desert Academy Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,968,780,0.806,898,0.928,968,780,0.806,898,0.928,Y
2016-2017,33,73676,6114789,Riverside,Coachella Valley Unified,Saul Martinez Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,1075,992,0.923,1043,0.97,1048,968,0.924,1016,0.969,Y
2016-2017,33,73676,6117774,Riverside,Coachella Valley Unified,Mountain Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,1000,653,0.653,810,0.81,982,643,0.655,797,0.812,Y
2016-2017,33,75176,1,Riverside,Lake Elsinore Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19,3,0.158,3,0.158,11,2,0.182,2,0.182,Y
2016-2017,33,75176,107920,Riverside,Lake Elsinore Unified,Lakeside High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1771,927,0.523,1306,0.737,1727,905,0.524,1275,0.738,Y
2016-2017,33,75176,108241,Riverside,Lake Elsinore Unified,Ronald Reagan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,748,325,0.434,430,0.575,740,321,0.434,426,0.576,Y
2016-2017,33,75176,113100,Riverside,Lake Elsinore Unified,Earl Warren Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,905,415,0.459,564,0.623,878,406,0.462,551,0.628,Y
2016-2017,33,75176,116343,Riverside,Lake Elsinore Unified,Keith McCarthy Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,287,111,0.387,125,0.436,273,103,0.377,115,0.421,Y
2016-2017,33,75176,120204,Riverside,Lake Elsinore Unified,Sycamore Academy of Science and Cultural Arts,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1118,Directly funded,Y,K,8,531,115,0.217,175,0.33,527,113,0.214,173,0.328,Y
2016-2017,33,75176,122960,Riverside,Lake Elsinore Unified,Lakeland Village,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,922,674,0.731,811,0.88,911,664,0.729,801,0.879,Y
2016-2017,33,75176,3330115,Riverside,Lake Elsinore Unified,Ortega High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,328,199,0.607,242,0.738,216,140,0.648,168,0.778,Y
2016-2017,33,75176,3330487,Riverside,Lake Elsinore Unified,Temescal Canyon High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2169,770,0.355,1105,0.509,2110,752,0.356,1076,0.51,Y
2016-2017,33,75176,3332350,Riverside,Lake Elsinore Unified,Elsinore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2045,913,0.446,1252,0.612,1987,885,0.445,1217,0.612,Y
2016-2017,33,75176,6032031,Riverside,Lake Elsinore Unified,Elsinore Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,575,493,0.857,560,0.974,564,484,0.858,549,0.973,Y
2016-2017,33,75176,6032056,Riverside,Lake Elsinore Unified,Machado Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,634,469,0.74,590,0.931,628,467,0.744,586,0.933,Y
2016-2017,33,75176,6032064,Riverside,Lake Elsinore Unified,Wildomar Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,702,448,0.638,549,0.782,690,439,0.636,539,0.781,Y
2016-2017,33,75176,6071203,Riverside,Lake Elsinore Unified,Elsinore Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,812,506,0.623,638,0.786,812,506,0.623,638,0.786,Y
2016-2017,33,75176,6105548,Riverside,Lake Elsinore Unified,Terra Cotta Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1269,732,0.577,980,0.772,1269,732,0.577,980,0.772,Y
2016-2017,33,75176,6107189,Riverside,Lake Elsinore Unified,Railroad Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,742,461,0.621,578,0.779,727,451,0.62,565,0.777,Y
2016-2017,33,75176,6108278,Riverside,Lake Elsinore Unified,Withrow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,787,468,0.595,614,0.78,774,461,0.596,603,0.779,Y
2016-2017,33,75176,6109938,Riverside,Lake Elsinore Unified,Luiseno,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,977,268,0.274,412,0.422,966,266,0.275,410,0.424,Y
2016-2017,33,75176,6111082,Riverside,Lake Elsinore Unified,Tuscany Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,745,202,0.271,266,0.357,733,198,0.27,261,0.356,Y
2016-2017,33,75176,6111090,Riverside,Lake Elsinore Unified,Donald Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,517,243,0.47,317,0.613,508,243,0.478,314,0.618,Y
2016-2017,33,75176,6112734,Riverside,Lake Elsinore Unified,David A. Brown Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1040,561,0.539,729,0.701,1040,561,0.539,729,0.701,Y
2016-2017,33,75176,6115174,Riverside,Lake Elsinore Unified,William Collier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,627,353,0.563,456,0.727,620,349,0.563,451,0.727,Y
2016-2017,33,75176,6118442,Riverside,Lake Elsinore Unified,Rice Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,942,461,0.489,589,0.625,919,452,0.492,576,0.627,Y
2016-2017,33,75176,6120455,Riverside,Lake Elsinore Unified,Cottonwood Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,898,229,0.255,323,0.36,877,225,0.257,317,0.361,Y
2016-2017,33,75176,6120463,Riverside,Lake Elsinore Unified,Canyon Lake Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1047,355,0.339,501,0.479,1047,355,0.339,501,0.479,Y
2016-2017,33,75192,1,Riverside,Temecula Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,5,0.185,5,0.185,25,5,0.2,5,0.2,Y
2016-2017,33,75192,101097,Riverside,Temecula Valley Unified,French Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,923,150,0.163,210,0.228,912,147,0.161,207,0.227,Y
2016-2017,33,75192,101105,Riverside,Temecula Valley Unified,Erle Stanley Gardner Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1155,152,0.132,217,0.188,1155,152,0.132,217,0.188,Y
2016-2017,33,75192,105734,Riverside,Temecula Valley Unified,Great Oak High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3342,309,9.25E-02,471,0.141,3237,293,9.05E-02,449,0.139,Y
2016-2017,33,75192,105742,Riverside,Temecula Valley Unified,Alamos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,895,149,0.166,204,0.228,894,149,0.167,204,0.228,Y
2016-2017,33,75192,105759,Riverside,Temecula Valley Unified,Bella Vista Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1268,238,0.188,328,0.259,1268,238,0.188,328,0.259,Y
2016-2017,33,75192,108480,Riverside,Temecula Valley Unified,Crowne Hill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,624,118,0.189,136,0.218,624,118,0.189,136,0.218,Y
2016-2017,33,75192,108498,Riverside,Temecula Valley Unified,Susan La Vorgna Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,839,149,0.178,213,0.254,828,147,0.178,209,0.252,Y
2016-2017,33,75192,108506,Riverside,Temecula Valley Unified,Tony Tobin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,889,82,9.22E-02,112,0.126,888,81,9.12E-02,111,0.125,Y
2016-2017,33,75192,113696,Riverside,Temecula Valley Unified,Temecula Luiseno Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,917,115,0.125,163,0.178,917,115,0.125,163,0.178,Y
2016-2017,33,75192,3330370,Riverside,Temecula Valley Unified,Temecula Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2724,475,0.174,626,0.23,2630,457,0.174,604,0.23,Y
2016-2017,33,75192,3330495,Riverside,Temecula Valley Unified,Rancho Vista High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,176,54,0.307,65,0.369,164,51,0.311,61,0.372,Y
2016-2017,33,75192,3330636,Riverside,Temecula Valley Unified,Susan H. Nelson,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,6,12,209,26,0.124,33,0.158,185,24,0.13,31,0.168,Y
2016-2017,33,75192,3330743,Riverside,Temecula Valley Unified,Chaparral High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3170,565,0.178,780,0.246,3053,540,0.177,749,0.245,Y
2016-2017,33,75192,3330917,Riverside,Temecula Valley Unified,Temecula Preparatory,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,284,Directly funded,Y,K,12,1061,100,9.43E-02,190,0.179,1052,97,9.22E-02,187,0.178,Y
2016-2017,33,75192,6032825,Riverside,Temecula Valley Unified,Temecula Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1202,160,0.133,214,0.178,1202,160,0.133,214,0.178,Y
2016-2017,33,75192,6096994,Riverside,Temecula Valley Unified,Vail Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,561,284,0.506,351,0.626,546,280,0.513,346,0.634,Y
2016-2017,33,75192,6106017,Riverside,Temecula Valley Unified,Rancho Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,510,85,0.167,116,0.227,497,82,0.165,113,0.227,Y
2016-2017,33,75192,6107254,Riverside,Temecula Valley Unified,Margarita Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,915,274,0.299,358,0.391,915,274,0.299,358,0.391,Y
2016-2017,33,75192,6108427,Riverside,Temecula Valley Unified,Temecula Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,630,343,0.544,429,0.681,616,334,0.542,420,0.682,Y
2016-2017,33,75192,6109417,Riverside,Temecula Valley Unified,Nicolas Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,790,181,0.229,267,0.338,760,178,0.234,260,0.342,Y
2016-2017,33,75192,6110084,Riverside,Temecula Valley Unified,Red Hawk Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,573,119,0.208,169,0.295,554,117,0.211,167,0.301,Y
2016-2017,33,75192,6112098,Riverside,Temecula Valley Unified,Vail Ranch Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1005,109,0.108,152,0.151,1005,109,0.108,152,0.151,Y
2016-2017,33,75192,6112551,Riverside,Temecula Valley Unified,Temecula Valley Charter,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,65,Directly funded,N,K,8,528,53,0.1,94,0.178,503,48,9.54E-02,89,0.177,Y
2016-2017,33,75192,6112809,Riverside,Temecula Valley Unified,Paloma Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,592,85,0.144,121,0.204,576,81,0.141,117,0.203,Y
2016-2017,33,75192,6113641,Riverside,Temecula Valley Unified,Pauba Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,552,110,0.199,141,0.255,536,107,0.2,138,0.257,Y
2016-2017,33,75192,6114243,Riverside,Temecula Valley Unified,Vintage Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,677,76,0.112,121,0.179,657,73,0.111,117,0.178,Y
2016-2017,33,75192,6116438,Riverside,Temecula Valley Unified,Helen Hunt Jackson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,417,44,0.106,60,0.144,400,42,0.105,58,0.145,Y
2016-2017,33,75192,6116446,Riverside,Temecula Valley Unified,Abby Reinke Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,784,86,0.11,115,0.147,768,85,0.111,114,0.148,Y
2016-2017,33,75192,6116453,Riverside,Temecula Valley Unified,James L. Day Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1028,254,0.247,352,0.342,1028,254,0.247,352,0.342,Y
2016-2017,33,75192,6118822,Riverside,Temecula Valley Unified,Ysabel Barnett Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,934,131,0.14,184,0.197,923,131,0.142,183,0.198,Y
2016-2017,33,75200,1,Riverside,Murrieta Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,0,0,0,0,8,0,0,0,0,Y
2016-2017,33,75200,100412,Riverside,Murrieta Valley Unified,Monte Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,975,219,0.225,297,0.305,953,215,0.226,293,0.307,Y
2016-2017,33,75200,100420,Riverside,Murrieta Valley Unified,Vista Murrieta High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3574,657,0.184,893,0.25,3467,635,0.183,862,0.249,Y
2016-2017,33,75200,102079,Riverside,Murrieta Valley Unified,Murrieta Canyon Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,267,62,0.232,78,0.292,245,53,0.216,69,0.282,Y
2016-2017,33,75200,108530,Riverside,Murrieta Valley Unified,Antelope Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,841,127,0.151,204,0.243,824,127,0.154,204,0.248,Y
2016-2017,33,75200,114058,Riverside,Murrieta Valley Unified,Lisa J. Mails Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,923,170,0.184,243,0.263,914,167,0.183,240,0.263,Y
2016-2017,33,75200,117408,Riverside,Murrieta Valley Unified,Dorothy McElhinney Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1325,212,0.16,323,0.244,1325,212,0.16,323,0.244,Y
2016-2017,33,75200,118794,Riverside,Murrieta Valley Unified,Murrieta Mesa High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2290,469,0.205,656,0.286,2208,448,0.203,632,0.286,Y
2016-2017,33,75200,3330529,Riverside,Murrieta Valley Unified,Murrieta Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2481,372,0.15,493,0.199,2384,356,0.149,473,0.198,Y
2016-2017,33,75200,6032346,Riverside,Murrieta Valley Unified,Murrieta Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,807,250,0.31,337,0.418,792,247,0.312,333,0.42,Y
2016-2017,33,75200,6106868,Riverside,Murrieta Valley Unified,Avaxat Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,753,325,0.432,422,0.56,741,321,0.433,417,0.563,Y
2016-2017,33,75200,6107841,Riverside,Murrieta Valley Unified,Alta Murrieta Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,810,225,0.278,311,0.384,799,223,0.279,308,0.385,Y
2016-2017,33,75200,6107858,Riverside,Murrieta Valley Unified,E. Hale Curran Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,562,202,0.359,248,0.441,552,201,0.364,246,0.446,Y
2016-2017,33,75200,6108153,Riverside,Murrieta Valley Unified,Rail Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,618,188,0.304,250,0.405,609,186,0.305,248,0.407,Y
2016-2017,33,75200,6108849,Riverside,Murrieta Valley Unified,Shivela Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1423,434,0.305,587,0.413,1423,434,0.305,587,0.413,Y
2016-2017,33,75200,6112429,Riverside,Murrieta Valley Unified,Thompson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,1671,295,0.177,397,0.238,1671,295,0.177,397,0.238,Y
2016-2017,33,75200,6113625,Riverside,Murrieta Valley Unified,Tovashal Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,764,157,0.205,233,0.305,746,154,0.206,229,0.307,Y
2016-2017,33,75200,6117659,Riverside,Murrieta Valley Unified,Cole Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,1063,143,0.135,185,0.174,1049,143,0.136,185,0.176,Y
2016-2017,33,75200,6118558,Riverside,Murrieta Valley Unified,Daniel N. Buchanan Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,943,292,0.31,385,0.408,921,283,0.307,376,0.408,Y
