Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2020-2021,30,66597,111666,Orange,Newport-Mesa Unified,Early College High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,9,12,214,116,0.542,135,0.631,213,116,0.545,135,0.634,Y
2020-2021,30,66597,6068399,Orange,Newport-Mesa Unified,Eastbluff Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,6,321,52,0.162,56,0.174,317,51,0.161,55,0.174,Y
2020-2021,30,66597,3032000,Orange,Newport-Mesa Unified,Estancia High,Unified School District,High Schools (Public),Traditional,N/A,N ,N/A,N/A,N,9,12,1131,824,0.729,899,0.795,1060,791,0.746,864,0.815,Y
2020-2021,30,66597,6029326,Orange,Newport-Mesa Unified,Everett A. Rea Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,330,242,0.733,278,0.842,325,239,0.735,275,0.846,Y
2020-2021,30,66597,6029334,Orange,Newport-Mesa Unified,Harbor View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,275,23,8.36E-02,25,9.09E-02,272,23,8.46E-02,25,9.19E-02,Y
2020-2021,30,66597,131425,Orange,Newport-Mesa Unified,Harper,Unified School District,Preschool,Special Education School,N/A,N ,N/A,N/A,N,P,P,1,0,0,0,0,1,0,0,0,0,Y
2020-2021,30,66597,6029359,Orange,Newport-Mesa Unified,Heinz Kaiser Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,3,6,519,129,0.249,143,0.276,519,129,0.249,143,0.276,Y
2020-2021,30,66597,6029367,Orange,Newport-Mesa Unified,Horace Ensign Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,N ,N/A,N/A,N,7,8,977,325,0.333,362,0.371,977,325,0.333,362,0.371,Y
2020-2021,30,66597,6029375,Orange,Newport-Mesa Unified,Killybrooke Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,282,154,0.546,171,0.606,278,152,0.547,168,0.604,Y
2020-2021,30,66597,6029391,Orange,Newport-Mesa Unified,Mariners Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,450,71,0.158,75,0.167,446,71,0.159,75,0.168,Y
2020-2021,30,66597,6029409,Orange,Newport-Mesa Unified,Maude B. Davis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,456,106,0.232,123,0.27,456,106,0.232,123,0.27,Y
2020-2021,30,66597,3030186,Orange,Newport-Mesa Unified,Monte Vista High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N,N/A,N/A,N,9,12,1731,836,0.483,909,0.525,1705,825,0.484,898,0.527,Y
2020-2021,30,66597,6118236,Orange,Newport-Mesa Unified,Newport Coast Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,371,30,8.09E-02,32,8.63E-02,366,30,8.20E-02,32,8.74E-02,Y
2020-2021,30,66597,6029433,Orange,Newport-Mesa Unified,Newport Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,308,51,0.166,57,0.185,305,51,0.167,57,0.187,Y
2020-2021,30,66597,3035045,Orange,Newport-Mesa Unified,Newport Harbor High,Unified School District,High Schools (Public),Traditional,N/A,N ,N/A,N/A,N,9,12,2266,725,0.32,808,0.357,2190,718,0.328,800,0.365,Y
2020-2021,30,66597,6029441,Orange,Newport-Mesa Unified,Newport Heights Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,6,434,129,0.297,140,0.323,427,129,0.302,140,0.328,Y
2020-2021,30,66597,1,Orange,Newport-Mesa Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,8,0.444,8,0.444,16,7,0.438,7,0.438,Y
2020-2021,30,66597,6029458,Orange,Newport-Mesa Unified,Paularino Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,321,198,0.617,224,0.698,314,194,0.618,220,0.701,Y
2020-2021,30,66597,6029466,Orange,Newport-Mesa Unified,Pomona Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,333,276,0.829,290,0.871,328,275,0.838,288,0.878,Y
2020-2021,30,66597,6089460,Orange,Newport-Mesa Unified,Roy O. Andersen Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,6,226,8,3.54E-02,8,3.54E-02,226,8,3.54E-02,8,3.54E-02,Y
2020-2021,30,66597,6029482,Orange,Newport-Mesa Unified,Sonora Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,355,244,0.687,263,0.741,349,243,0.696,262,0.751,Y
2020-2021,30,66597,6029490,Orange,Newport-Mesa Unified,Victoria Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,273,153,0.56,181,0.663,270,152,0.563,180,0.667,Y
2020-2021,30,66597,6029516,Orange,Newport-Mesa Unified,Whittier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,423,347,0.82,387,0.915,420,345,0.821,385,0.917,Y
2020-2021,30,66597,6029524,Orange,Newport-Mesa Unified,Wilson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,6,306,256,0.837,282,0.922,305,255,0.836,281,0.921,Y
2020-2021,30,66597,6107833,Orange,Newport-Mesa Unified,Woodland Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,2,362,78,0.215,90,0.249,356,76,0.213,88,0.247,Y
2020-2021,30,66613,6029540,Orange,Ocean View,Circle View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,668,173,0.259,241,0.361,668,173,0.259,241,0.361,Y
2020-2021,30,66613,6029557,Orange,Ocean View,College View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,322,197,0.612,226,0.702,314,192,0.611,220,0.701,Y
2020-2021,30,66613,6071104,Orange,Ocean View,Golden View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,327,173,0.529,220,0.673,327,173,0.529,220,0.673,Y
2020-2021,30,66613,6029581,Orange,Ocean View,Harbour View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,630,195,0.31,254,0.403,621,192,0.309,250,0.403,Y
2020-2021,30,66613,6029607,Orange,Ocean View,Hope View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,574,114,0.199,141,0.246,566,113,0.2,140,0.247,Y
2020-2021,30,66613,6029615,Orange,Ocean View,Lake View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,405,229,0.565,269,0.664,400,228,0.57,267,0.667,Y
2020-2021,30,66613,6029631,Orange,Ocean View,Marine View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,610,278,0.456,331,0.543,610,278,0.456,331,0.543,Y
2020-2021,30,66613,6066849,Orange,Ocean View,Mesa View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,852,268,0.315,329,0.386,852,268,0.315,329,0.386,Y
2020-2021,30,66613,1,Orange,Ocean View,"Nonpublic, Nonsectarian Schools",Elementary School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,5,0.625,5,0.625,8,5,0.625,5,0.625,Y
2020-2021,30,66613,6029656,Orange,Ocean View,Oak View Elementary,Elementary School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,573,529,0.923,557,0.972,560,516,0.921,544,0.971,Y
2020-2021,30,66613,6029698,Orange,Ocean View,Spring View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,649,315,0.485,408,0.629,649,315,0.485,408,0.629,Y
2020-2021,30,66613,6029706,Orange,Ocean View,Star View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,411,190,0.462,252,0.613,398,185,0.465,245,0.616,Y
2020-2021,30,66613,6029722,Orange,Ocean View,Village View Elementary,Elementary School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,405,134,0.331,172,0.425,401,134,0.334,171,0.426,Y
2020-2021,30,66613,6068613,Orange,Ocean View,Vista View Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,6,8,532,352,0.662,420,0.789,532,352,0.662,420,0.789,Y
2020-2021,30,66613,6029730,Orange,Ocean View,Westmont Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N ,N/A,N/A,N,K,5,371,277,0.747,311,0.838,369,277,0.751,311,0.843,Y
2020-2021,30,66621,6097364,Orange,Orange Unified,Anaheim Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,495,54,0.109,54,0.109,480,52,0.108,52,0.108,Y
2020-2021,30,66621,6029748,Orange,Orange Unified,California Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,607,456,0.751,510,0.84,587,441,0.751,494,0.842,Y
2020-2021,30,66621,6029755,Orange,Orange Unified,Cambridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,467,320,0.685,358,0.767,450,308,0.684,344,0.764,Y
2020-2021,30,66621,3030046,Orange,Orange Unified,Canyon High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2177,317,0.146,331,0.152,2128,308,0.145,322,0.151,Y
2020-2021,30,66621,6029920,Orange,Orange Unified,Canyon Hills,Unified School District,Special Education Schools (Public),Special Education School,Not Participating,N ,N/A,N/A,N,K,Adult,139,41,0.295,41,0.295,42,18,0.429,18,0.429,Y
2020-2021,30,66621,6114565,Orange,Orange Unified,Canyon Rim Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,587,103,0.175,109,0.186,576,100,0.174,106,0.184,Y
2020-2021,30,66621,6058937,Orange,Orange Unified,Cerro Villa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,847,332,0.392,344,0.406,847,332,0.392,344,0.406,Y
2020-2021,30,66621,6107767,Orange,Orange Unified,Chapman Hills Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,436,78,0.179,91,0.209,420,77,0.183,89,0.212,Y
2020-2021,30,66621,6029763,Orange,Orange Unified,Crescent Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,727,84,0.116,93,0.128,711,82,0.115,90,0.127,Y
2020-2021,30,66621,0,Orange,Orange Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,16,3,0.188,3,0.188,11,2,0.182,2,0.182,Y
2020-2021,30,66621,3031952,Orange,Orange Unified,El Modena High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2111,906,0.429,948,0.449,2061,890,0.432,932,0.452,Y
2020-2021,30,66621,6094874,Orange,Orange Unified,El Rancho Charter,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,445,Locally funded,Y,7,8,1152,165,0.143,172,0.149,1152,165,0.143,172,0.149,Y
2020-2021,30,66621,6029771,Orange,Orange Unified,Esplanade Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,333,284,0.853,297,0.892,326,277,0.85,290,0.89,Y
2020-2021,30,66621,6029789,Orange,Orange Unified,Fairhaven Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,450,301,0.669,334,0.742,444,297,0.669,329,0.741,Y
2020-2021,30,66621,6029797,Orange,Orange Unified,Fletcher Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,439,149,0.339,164,0.374,423,144,0.34,159,0.376,Y
2020-2021,30,66621,6029805,Orange,Orange Unified,Handy Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,423,345,0.816,359,0.849,405,332,0.82,346,0.854,Y
2020-2021,30,66621,6096333,Orange,Orange Unified,Imperial Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,473,74,0.156,82,0.173,455,71,0.156,79,0.174,Y
2020-2021,30,66621,6029821,Orange,Orange Unified,Jordan Academy of Language and Computer Science,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,376,262,0.697,278,0.739,359,253,0.705,267,0.744,Y
2020-2021,30,66621,6029862,Orange,Orange Unified,La Veta Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,513,228,0.444,242,0.472,502,224,0.446,238,0.474,Y
2020-2021,30,66621,6029854,Orange,Orange Unified,Lampson Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,705,467,0.662,492,0.698,680,454,0.668,478,0.703,Y
2020-2021,30,66621,6071112,Orange,Orange Unified,Linda Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,398,95,0.239,109,0.274,378,92,0.243,106,0.28,Y
2020-2021,30,66621,6058945,Orange,Orange Unified,McPherson Magnet,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,845,183,0.217,205,0.243,845,183,0.217,205,0.243,Y
2020-2021,30,66621,6071120,Orange,Orange Unified,Nohl Canyon Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,524,53,0.101,56,0.107,524,53,0.101,56,0.107,Y
2020-2021,30,66621,1,Orange,Orange Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41,9,0.22,9,0.22,33,9,0.273,9,0.273,Y
2020-2021,30,66621,6029870,Orange,Orange Unified,Olive Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,376,199,0.529,212,0.564,366,196,0.536,209,0.571,Y
2020-2021,30,66621,139964,Orange,Orange Unified,Orange County Classical Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Y,2094,Directly funded,Y,K,12,360,46,0.128,48,0.133,342,42,0.123,44,0.129,Y
2020-2021,30,66621,3035409,Orange,Orange Unified,Orange High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,1703,1073,0.63,1141,0.67,1659,1045,0.63,1113,0.671,Y
2020-2021,30,66621,102814,Orange,Orange Unified,Orange Unified Pre-K SDC,Unified School District,Elementary Schools (Public),Traditional,N/A,N ,N/A,N/A,N,P,K,1,0,0,0,0,1,0,0,0,0,Y
2020-2021,30,66621,114769,Orange,Orange Unified,OUSD Community Day,Unified School District,District Community Day Schools,Community Day School,Not Participating,N ,N/A,N/A,N,7,12,13,5,0.385,5,0.385,11,4,0.364,4,0.364,Y
2020-2021,30,66621,140293,Orange,Orange Unified,OUSD EDGE Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,N ,N/A,N/A,N,K,12,6,1,0.167,1,0.167,6,1,0.167,1,0.167,Y
2020-2021,30,66621,118174,Orange,Orange Unified,OUSD Home Sch,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,226,64,0.283,64,0.283,222,64,0.288,64,0.288,Y
2020-2021,30,66621,6029888,Orange,Orange Unified,Palmyra Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,391,242,0.619,261,0.668,376,235,0.625,252,0.67,Y
2020-2021,30,66621,6029896,Orange,Orange Unified,Panorama Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,385,63,0.164,71,0.184,371,61,0.164,69,0.186,Y
2020-2021,30,66621,6061725,Orange,Orange Unified,Portola Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,6,8,646,427,0.661,452,0.7,646,427,0.661,452,0.7,Y
2020-2021,30,66621,6029912,Orange,Orange Unified,Prospect Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,396,289,0.73,316,0.798,396,289,0.73,316,0.798,Y
2020-2021,30,66621,3035748,Orange,Orange Unified,Richland Continuation High,Unified School District,Continuation High Schools,Continuation School,Not Participating,N ,N/A,N/A,N,9,12,252,161,0.639,162,0.643,227,147,0.648,148,0.652,Y
2020-2021,30,66621,6116586,Orange,Orange Unified,Running Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,597,97,0.162,101,0.169,575,93,0.162,96,0.167,Y
2020-2021,30,66621,6085328,Orange,Orange Unified,Santiago Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,Y,66,Directly funded,Y,7,8,1163,522,0.449,545,0.469,1163,522,0.449,545,0.469,Y
2020-2021,30,66621,6029938,Orange,Orange Unified,Serrano Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,510,130,0.255,137,0.269,510,130,0.255,137,0.269,Y
2020-2021,30,66621,6029953,Orange,Orange Unified,Sycamore Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,370,266,0.719,284,0.768,370,266,0.719,284,0.768,Y
2020-2021,30,66621,6029961,Orange,Orange Unified,Taft Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,502,397,0.791,427,0.851,487,389,0.799,418,0.858,Y
2020-2021,30,66621,6029979,Orange,Orange Unified,Villa Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,636,100,0.157,108,0.17,620,94,0.152,102,0.165,Y
2020-2021,30,66621,3038098,Orange,Orange Unified,Villa Park High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2185,661,0.303,694,0.318,2120,648,0.306,681,0.321,Y
2020-2021,30,66621,6029987,Orange,Orange Unified,West Orange Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,389,268,0.689,301,0.774,372,259,0.696,291,0.782,Y
2020-2021,30,66621,6061733,Orange,Orange Unified,Yorba Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,555,422,0.76,445,0.802,555,422,0.76,445,0.802,Y
2020-2021,30,66647,6068621,Orange,Placentia-Yorba Linda Unified,Bernardo Yorba Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,556,154,0.277,217,0.39,556,154,0.277,217,0.39,Y
2020-2021,30,66647,6029995,Orange,Placentia-Yorba Linda Unified,Brookhaven Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,450,71,0.158,128,0.284,435,71,0.163,126,0.29,Y
2020-2021,30,66647,6109102,Orange,Placentia-Yorba Linda Unified,Bryant Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,472,73,0.155,149,0.316,454,70,0.154,144,0.317,Y
2020-2021,30,66647,3030483,Orange,Placentia-Yorba Linda Unified,Buena Vista Virtual Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,632,120,0.19,197,0.312,631,120,0.19,197,0.312,Y
2020-2021,30,66647,6030001,Orange,Placentia-Yorba Linda Unified,Charles Wagner Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,399,63,0.158,115,0.288,379,62,0.164,111,0.293,Y
2020-2021,30,66647,6030019,Orange,Placentia-Yorba Linda Unified,Col. J. K. Tuffree Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,637,196,0.308,287,0.451,637,196,0.308,287,0.451,Y
2020-2021,30,66647,3031945,Orange,Placentia-Yorba Linda Unified,El Camino Real Continuation High,Unified School District,Continuation High Schools,Continuation School,CEP,N ,N/A,N/A,N,9,12,138,90,0.652,100,0.725,104,70,0.673,78,0.75,Y
2020-2021,30,66647,3031929,Orange,Placentia-Yorba Linda Unified,El Dorado High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2004,489,0.244,716,0.357,1957,476,0.243,699,0.357,Y
2020-2021,30,66647,3030053,Orange,Placentia-Yorba Linda Unified,Esperanza High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,1493,397,0.266,597,0.4,1444,386,0.267,584,0.404,Y
2020-2021,30,66647,6071146,Orange,Placentia-Yorba Linda Unified,Fairmont Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,809,98,0.121,183,0.226,786,95,0.121,177,0.225,Y
2020-2021,30,66647,6089478,Orange,Placentia-Yorba Linda Unified,George Key,Unified School District,Special Education Schools (Public),Special Education School,CEP,N ,N/A,N/A,N,K,Adult,115,28,0.243,34,0.296,37,10,0.27,12,0.324,Y
2020-2021,30,66647,6030027,Orange,Placentia-Yorba Linda Unified,Glenknoll Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,410,56,0.137,103,0.251,395,55,0.139,101,0.256,Y
2020-2021,30,66647,6085641,Orange,Placentia-Yorba Linda Unified,Glenview Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,601,219,0.364,301,0.501,585,216,0.369,295,0.504,Y
2020-2021,30,66647,6030035,Orange,Placentia-Yorba Linda Unified,Golden Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,763,97,0.127,169,0.221,744,97,0.13,166,0.223,Y
2020-2021,30,66647,6097018,Orange,Placentia-Yorba Linda Unified,John O. Tynes Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,752,440,0.585,519,0.69,725,427,0.589,504,0.695,Y
2020-2021,30,66647,6030043,Orange,Placentia-Yorba Linda Unified,Kraemer Middle,Unified School District,Junior High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,7,8,1082,419,0.387,540,0.499,1082,419,0.387,540,0.499,Y
2020-2021,30,66647,109678,Orange,Placentia-Yorba Linda Unified,Lakeview Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,416,65,0.156,98,0.236,401,64,0.16,96,0.239,Y
2020-2021,30,66647,6095160,Orange,Placentia-Yorba Linda Unified,Linda Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,371,70,0.189,112,0.302,357,70,0.196,111,0.311,Y
2020-2021,30,66647,6030936,Orange,Placentia-Yorba Linda Unified,Mabel M. Paine Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,373,103,0.276,143,0.383,349,95,0.272,134,0.384,Y
2020-2021,30,66647,102897,Orange,Placentia-Yorba Linda Unified,Melrose Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,463,414,0.894,430,0.929,446,399,0.895,414,0.928,Y
2020-2021,30,66647,6030050,Orange,Placentia-Yorba Linda Unified,Morse Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,374,211,0.564,263,0.703,362,206,0.569,256,0.707,Y
2020-2021,30,66647,1,Orange,Placentia-Yorba Linda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,5,0.333,5,0.333,14,5,0.357,5,0.357,Y
2020-2021,30,66647,6119556,Orange,Placentia-Yorba Linda Unified,Parkview,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,N ,N/A,N/A,N,K,12,476,66,0.139,111,0.233,455,64,0.141,108,0.237,Y
2020-2021,30,66647,6030076,Orange,Placentia-Yorba Linda Unified,Rio Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,5,755,531,0.703,599,0.793,720,511,0.71,577,0.801,Y
2020-2021,30,66647,6030951,Orange,Placentia-Yorba Linda Unified,Rose Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,5,367,88,0.24,120,0.327,345,84,0.243,115,0.333,Y
2020-2021,30,66647,6030084,Orange,Placentia-Yorba Linda Unified,Ruby Drive Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,356,245,0.688,302,0.848,347,240,0.692,293,0.844,Y
2020-2021,30,66647,6030092,Orange,Placentia-Yorba Linda Unified,Sierra Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,482,135,0.28,197,0.409,462,131,0.284,191,0.413,Y
2020-2021,30,66647,6085633,Orange,Placentia-Yorba Linda Unified,Topaz Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,N ,N/A,N/A,N,K,6,476,406,0.853,444,0.933,455,387,0.851,424,0.932,Y
2020-2021,30,66647,6106009,Orange,Placentia-Yorba Linda Unified,Travis Ranch,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,8,1227,167,0.136,304,0.248,1201,164,0.137,299,0.249,Y
2020-2021,30,66647,116525,Orange,Placentia-Yorba Linda Unified,Valadez Middle School Academy,Unified School District,Intermediate/Middle Schools (Public),Traditional,CEP,N ,N/A,N/A,N,6,8,700,578,0.826,661,0.944,700,578,0.826,661,0.944,Y
2020-2021,30,66647,3038023,Orange,Placentia-Yorba Linda Unified,Valencia High,Unified School District,High Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,9,12,2628,1344,0.511,1701,0.647,2576,1318,0.512,1664,0.646,Y
2020-2021,30,66647,6030100,Orange,Placentia-Yorba Linda Unified,Van Buren Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,571,202,0.354,273,0.478,551,194,0.352,262,0.475,Y
2020-2021,30,66647,6097000,Orange,Placentia-Yorba Linda Unified,Woodsboro Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,N ,N/A,N/A,N,K,6,464,139,0.3,182,0.392,449,135,0.301,176,0.392,Y
